you,2.203,4.265
oh,17.951,17.991
"Oh,",31.306,31.446
I,31.466,31.486
"see,",31.627,32.307
"yeah,",32.548,32.848
a,33.028,33.088
little,33.108,33.369
change,33.429,34.089
Wipe,47.609,48.149
away,48.169,48.65
those,48.69,48.93
tears,48.99,49.491
"child,",49.571,50.092
there's,50.452,50.773
no,50.833,51.073
need,51.173,51.554
to,51.574,51.674
cry,51.734,52.134
Stand,53.269,53.669
up,53.81,53.93
on,54.21,54.41
your,54.43,54.71
feet,54.79,55.291
now,55.391,55.811
Lift,56.232,56.532
your,56.572,56.912
head,56.972,57.352
up,57.493,57.553
high,57.653,58.213
Wait,59.134,59.434
till,59.454,59.694
tomorrow,59.714,60.435
Lay,60.555,60.795
down,60.815,61.035
your,61.055,61.236
sorrow,61.276,61.796
Freedom,61.996,62.477
is,62.537,62.717
here,62.757,63.117
today,63.157,63.657
Wipe,64.899,65.48
away,65.5,65.98
those,66.02,66.28
"tears,",66.34,66.84
child,66.92,67.541
And,68.061,68.141
put,68.161,68.461
down,68.521,68.862
your,68.902,69.142
shame,69.222,69.702
"Oh,",69.722,70.743
I,71.783,72.024
see,72.164,72.684
an,73.204,73.645
empty,73.765,74.325
grave,74.685,75.186
I,77.109,77.189
hear,77.25,77.57
the,77.61,77.81
heavens,77.93,78.591
"waking,",78.631,79.212
angels,79.893,80.534
in,80.654,80.754
"jubilation,",80.834,82.176
bad,82.296,83.557
storms,83.617,84.418
be,84.498,84.659
rolled,85.139,85.54
away.,86.141,86.801
I,88.568,88.708
feel,88.768,89.369
the,89.389,89.449
darkness,89.509,90.17
breakin',90.25,90.77
I,91.491,91.631
bet,91.671,91.991
the,92.051,92.291
devil's,92.391,92.972
shakin',93.072,93.653
Somebody,94.173,95.194
set,95.254,95.614
them,95.674,96.355
breakin',96.395,97.075
I,97.216,97.336
see,97.456,97.596
an,97.716,97.816
empty,98.156,99.137
grave,99.257,99.578
Hmm.,103.869,104.049
Wipe,111.138,111.799
away,111.819,112.26
those,112.28,112.521
tears,112.601,113.122
"child,",113.182,113.663
there's,114.023,114.384
no,114.444,114.725
need,114.805,115.165
to,115.205,115.265
cry,115.326,115.927
Stand,116.908,117.329
up,117.489,117.75
on,117.83,118.03
your,118.07,118.351
feet,118.411,118.932
"now,",119.012,119.453
lift,119.834,120.154
your,120.194,120.535
head,120.615,121.056
up,121.156,121.216
high,121.276,121.797
Don't,122.558,122.719
wait,122.759,123.059
till,123.079,123.32
tomorrow,123.34,124.041
to,124.061,124.101
lay,124.221,124.522
down,124.542,124.702
your,124.722,124.903
sorrow,124.923,125.424
Freedom,125.624,126.005
is,126.125,126.305
here,126.365,126.706
today,126.746,127.227
Wipe,128.528,129.129
away,129.169,129.59
those,129.65,129.89
"tears,",129.97,130.451
child,130.531,131.112
And,131.673,131.753
put,131.793,132.053
down,132.153,132.494
your,132.534,132.774
shame,132.854,133.295
"Oh,",133.315,133.355
I,135.398,135.658
see,135.778,136.459
an,137.1,137.32
empty,137.4,138.282
grave,138.322,138.882
I,140.749,140.889
hear,140.949,141.209
the,141.249,141.47
heavens,141.57,142.391
"waking,",142.411,142.972
angels,143.533,144.114
in,144.255,144.395
"jubilation,",144.455,145.817
death,145.897,147.18
stones,147.28,148.001
being,148.101,149.123
rolled,149.684,149.844
away.,149.864,150.325
I,152.56,152.721
feel,152.761,152.921
the,152.961,153.041
darkness,153.101,153.742
breaking,153.822,154.623
I,155.083,155.263
bet,155.283,155.604
the,155.684,155.964
devil's,156.004,156.685
shaking,156.725,157.386
Somebody,157.786,158.807
celebrate,158.867,160.429
"Oh,",161.19,161.35
I,161.37,161.39
see,161.47,161.67
an,161.77,161.871
empty,162.011,162.872
grave,162.912,163.292
Woooo!,169.32,170.14
ah,178.264,178.404
No!,199.436,199.659
Wipe,203.7,204.061
away,204.241,204.782
those,204.822,205.082
"tears,",205.142,205.683
"child,",205.763,206.284
go,206.645,206.945
and,207.086,207.246
tell,207.326,207.686
the,207.747,207.827
news,207.907,208.488
What,209.189,209.369
started,209.429,209.95
in,210.371,210.591
the,210.651,210.912
garden,210.992,211.793
was,212.214,212.354
finished,212.414,212.935
in,213.275,213.456
the,213.516,213.636
tomb,213.696,214.016
It's,215.358,215.519
all,215.639,215.799
"reversed,",215.839,216.4
the,216.58,216.7
"apple,",216.901,217.241
the,217.301,217.421
"curse,",217.482,217.762
three,218.102,218.363
days,218.383,219.184
in,219.204,219.244
the,219.304,219.404
ground,219.444,220.065
Christ,220.085,221.507
our,221.688,221.848
Lord,221.868,222.248
is,222.389,222.529
"risen,",222.629,223.31
death,223.991,224.331
couldn't,224.431,224.852
hold,224.952,225.373
him,225.433,225.894
down,226.134,226.434
