Aum,2.203,18.435
Aum,20.477,20.677
Aum,20.697,21.337
Aum,21.517,21.657
"Oh,",29.704,30.164
I,31.305,31.525
see,31.645,32.926
it,33.006,33.066
in,33.186,33.366
chain,33.426,34.126
gray.,34.226,34.747
Wipe,47.613,48.153
away,48.173,48.653
those,48.693,48.933
"tears,",48.993,49.493
child.,49.574,50.134
There's,50.454,50.774
no,50.834,51.074
need,51.174,51.554
to,51.574,51.675
cry.,51.735,52.155
Stand,53.269,53.689
up,53.83,53.93
on,54.19,54.41
your,54.43,54.73
feet,54.79,55.291
"now,",55.391,55.811
lift,56.231,56.532
your,56.572,56.892
head,56.972,57.352
up,57.472,57.552
high.,57.652,58.193
Don't,58.213,59.073
wait,59.114,59.414
till,59.434,59.694
tomorrow,59.714,60.374
to,60.394,60.435
lay,60.555,60.795
down,60.815,61.035
your,61.055,61.215
sorrow.,61.275,61.796
Freedom,61.996,62.496
is,62.536,62.696
here,62.756,63.117
today.,63.157,63.717
Wipe,63.737,63.817
away,64.798,65.498
those,66.039,66.299
"tears,",66.359,66.839
"child,",66.919,67.44
and,68.06,68.14
put,68.18,68.461
down,68.541,68.861
your,68.901,69.161
shame.,69.241,69.721
"Oh,",69.982,70.762
I,71.803,72.023
see,72.163,72.744
an,73.204,73.644
empty,73.765,74.665
grave.,74.685,75.186
I,77.069,77.169
hear,77.229,77.569
the,77.609,77.89
heavens,77.95,78.61
"waking,",78.67,79.19
angels,79.891,80.511
in,80.631,80.771
jubilation.,80.831,82.172
Bad,82.292,83.552
storms,83.632,84.413
be,84.493,84.653
rolled,85.633,86.894
away.,86.914,86.994
I,88.575,88.715
feel,88.775,89.135
the,89.195,89.435
darkness,89.515,90.156
breaking.,90.236,90.756
I,90.776,90.796
bet,91.696,92.017
the,92.057,92.317
devil's,92.397,92.997
shaking.,93.057,93.657
Somebody,94.178,95.178
celebrate.,95.238,97.059
I,97.219,97.359
see,97.439,97.86
an,98.16,98.28
empty,98.34,99.16
grave.,99.26,99.66
I,107.726,108.126
put,111.49,111.79
away,111.811,112.271
those,112.291,112.531
tears,112.611,113.132
"child,",113.192,113.653
there's,114.033,114.393
no,114.433,114.734
need,114.814,115.154
to,115.194,115.254
cry,115.314,115.935
Stand,116.916,117.357
up,117.457,117.717
on,117.837,118.017
your,118.077,118.358
feet,118.418,118.938
"now,",119.018,119.399
lift,119.859,120.14
your,120.18,120.52
head,120.58,121.081
up,121.161,121.221
high,121.281,121.882
Don't,122.582,122.722
wait,122.762,123.063
till,123.083,123.343
tomorrow,123.363,124.084
to,124.104,124.144
lay,124.264,124.524
down,124.544,124.705
your,124.745,124.905
"sorrow,",124.945,125.445
freedom,125.646,126.006
is,126.126,126.306
here,126.366,126.727
today,126.747,127.267
Wipe,128.528,129.129
away,129.169,129.569
those,129.609,129.889
"tears,",129.969,130.45
"child,",130.53,131.09
and,131.671,131.751
put,131.791,132.031
down,132.151,132.491
your,132.531,132.772
shame,132.852,133.292
"Oh,",133.312,134.313
I,135.434,135.654
see,135.754,136.495
an,137.075,137.295
empty,137.395,138.276
grave,138.336,138.876
I,138.896,138.916
hear,140.478,140.878
the,140.898,141.198
heavens,141.278,142.219
"waking,",142.399,142.96
angels,143.52,144.121
in,144.261,144.381
jubilation,144.461,145.822
Dead,145.902,147.203
stones,147.283,148.024
being,148.104,148.704
rolled,148.744,149.165
away,149.785,150.366
I,152.58,152.74
feel,152.76,152.92
the,152.96,153.06
diamonds,153.1,153.76
breakin',153.82,154.561
I,154.581,154.601
bet,155.281,155.621
the,155.681,155.961
devil's,156.001,156.661
shakin',156.701,157.381
Somebody's,157.781,158.801
celebratin',158.861,160.462
"Oh,",160.562,160.702
I,161.182,161.402
see,161.462,161.662
an,161.762,161.862
empty,162.002,162.842
grave,162.902,163.202
oh,178.364,179.345
oh,179.505,179.665
Wipe,203.7,204.401
away,204.421,204.781
those,204.821,205.081
"tears,",205.141,205.681
"child,",205.761,206.322
go,206.642,206.962
and,207.082,207.242
tell,207.322,207.683
the,207.743,207.823
news,207.903,208.463
What,209.164,209.364
started,209.424,209.944
in,210.384,210.585
the,210.645,210.925
garden,210.985,211.805
was,212.206,212.346
finished,212.406,212.946
in,213.266,213.446
the,213.506,213.626
tomb,213.687,214.107
It's,215.368,215.508
all,215.648,215.788
"reversed,",215.848,216.408
the,216.568,216.708
"apple,",216.909,217.249
the,217.289,217.429
"curse,",217.489,217.789
three,218.089,218.349
days,218.39,218.91
in,219.03,219.21
the,219.31,219.41
ground,219.45,220.091
Christ,220.111,221.512
our,221.692,221.852
Lord,221.892,222.232
is,222.392,222.532
"risen,",222.612,223.313
death,223.993,224.333
couldn't,224.433,224.854
hold,224.954,225.374
him,225.434,225.954
down,226.134,226.435
