song_base,source,variant,ref_len,hyp_len,wer,cer,lev_dist_chars,rougeL_f1,uni_prec,uni_rec,uni_f1
4-Non-Blondes---Whats-Up,whisper_openai,large-v3,351,434,0.678063,0.530372,812,0.601274,0.546083,0.675214,0.603822
4-Non-Blondes---Whats-Up,whisper_timestamped,large-v2,351,296,0.584046,0.452645,693,0.571870,0.736486,0.621083,0.673879
4-Non-Blondes---Whats-Up,whisper_timestamped,large-v3,351,232,0.390313,0.358589,549,0.744425,0.969828,0.641026,0.771870
4-Non-Blondes---Whats-Up,whisper_timestamped,small,351,237,0.478632,0.400392,613,0.639456,0.827004,0.558405,0.666667
4-Non-Blondes---Whats-Up_large-v2,whisperx,15,351,413,0.467236,0.403658,618,0.735602,0.711864,0.837607,0.769634
4-Non-Blondes---Whats-Up_large-v2,whisperx,None,351,310,0.190883,0.131940,202,0.871407,0.932258,0.823362,0.874433
4-Non-Blondes---Whats-Up_large-v3-turbo,whisperx,15,351,312,0.276353,0.198563,304,0.781297,0.836538,0.743590,0.787330
4-Non-Blondes---Whats-Up_large-v3-turbo,whisperx,None,351,385,0.538462,0.380144,582,0.671196,0.641558,0.703704,0.671196
Beyonce---Tyrant,whisper_openai,large-v2,673,613,0.237741,0.163471,503,0.821151,0.889070,0.809807,0.847589
Beyonce---Tyrant,whisper_openai,large-v3,673,630,0.206538,0.138772,427,0.836531,0.890476,0.833581,0.861090
Beyonce---Tyrant,whisper_timestamped,large-v2,673,202,0.728083,0.706857,2175,0.420571,0.945545,0.283804,0.436571
Beyonce---Tyrant,whisper_timestamped,large-v3,673,649,0.523031,0.361066,1111,0.509834,0.568567,0.548291,0.558245
Beyonce---Tyrant,whisper_timestamped,small,673,518,0.421991,0.331492,1020,0.668346,0.851351,0.655275,0.740554
Beyonce---Tyrant_large-v2,whisperx,15,673,523,0.326895,0.286968,883,0.769231,0.915870,0.711738,0.801003
Beyonce---Tyrant_large-v2,whisperx,None,673,626,0.219911,0.160871,495,0.837567,0.886581,0.824666,0.854503
Beyonce---Tyrant_large-v3-turbo,whisperx,15,673,561,0.273403,0.230419,709,0.802269,0.905526,0.754829,0.823339
Beyonce---Tyrant_large-v3-turbo,whisperx,None,673,606,0.225854,0.160221,493,0.830336,0.894389,0.805349,0.847537
Black-Sabbath---Paranoid,whisper_openai,large-v2,136,192,0.455882,0.445312,285,0.792683,0.677083,0.955882,0.792683
Black-Sabbath---Paranoid,whisper_openai,large-v3,136,190,0.529412,0.464062,297,0.730061,0.636842,0.889706,0.742331
Black-Sabbath---Paranoid,whisper_timestamped,large-v2,136,9,0.963235,0.926562,593,0.068966,0.555556,0.036765,0.068966
Black-Sabbath---Paranoid,whisper_timestamped,large-v3,136,12,0.941176,0.903125,578,0.108108,0.833333,0.073529,0.135135
Black-Sabbath---Paranoid,whisper_timestamped,small,136,13,0.977941,0.896875,574,0.040268,0.307692,0.029412,0.053691
Black-Sabbath---Paranoid_large-v2,whisperx,15,136,137,0.080882,0.053125,34,0.930403,0.934307,0.941176,0.937729
Black-Sabbath---Paranoid_large-v2,whisperx,None,136,137,0.073529,0.045312,29,0.937729,0.941606,0.948529,0.945055
Black-Sabbath---Paranoid_large-v3-turbo,whisperx,15,136,138,0.132353,0.082812,53,0.883212,0.891304,0.904412,0.897810
Black-Sabbath---Paranoid_large-v3-turbo,whisperx,None,136,138,0.132353,0.081250,52,0.883212,0.884058,0.897059,0.890511
Blink-182---I-Miss-You,whisper_openai,large-v2,234,222,0.098291,0.075207,91,0.934211,0.959459,0.910256,0.934211
Blink-182---I-Miss-You,whisper_openai,large-v3,234,292,0.294872,0.292562,354,0.863118,0.784247,0.978632,0.870722
Blink-182---I-Miss-You,whisper_timestamped,large-v2,234,285,0.427350,0.298347,361,0.747592,0.680702,0.829060,0.747592
Blink-182---I-Miss-You,whisper_timestamped,large-v3,234,406,0.786325,0.586777,710,0.706250,0.566502,0.982906,0.718750
Blink-182---I-Miss-You,whisper_timestamped,small,234,230,0.072650,0.053719,65,0.952586,0.960870,0.944444,0.952586
Blink-182---I-Miss-You_large-v2,whisperx,15,234,233,0.055556,0.034711,42,0.963597,0.969957,0.965812,0.967880
Blink-182---I-Miss-You_large-v2,whisperx,None,234,232,0.042735,0.031405,38,0.974249,0.978448,0.970085,0.974249
Blink-182---I-Miss-You_large-v3-turbo,whisperx,15,234,232,0.059829,0.036364,44,0.961373,0.974138,0.965812,0.969957
Blink-182---I-Miss-You_large-v3-turbo,whisperx,None,234,231,0.051282,0.029752,36,0.967742,0.982684,0.970085,0.976344
Bob-Dylan---Knockin-On-Heavens-Door,whisper_openai,large-v2,100,95,0.090000,0.085714,48,0.943590,0.968421,0.920000,0.943590
Bob-Dylan---Knockin-On-Heavens-Door,whisper_openai,large-v3,100,110,0.100000,0.103571,58,0.952381,0.909091,1.000000,0.952381
Bob-Dylan---Knockin-On-Heavens-Door,whisper_timestamped,large-v2,100,61,0.430000,0.423214,237,0.708075,0.934426,0.570000,0.708075
Bob-Dylan---Knockin-On-Heavens-Door,whisper_timestamped,large-v3,100,61,0.430000,0.423214,237,0.708075,0.934426,0.570000,0.708075
Bob-Dylan---Knockin-On-Heavens-Door,whisper_timestamped,small,100,60,0.400000,0.444643,249,0.750000,1.000000,0.600000,0.750000
Bob-Dylan---Knockin-On-Heavens-Door_large-v2,whisperx,15,100,100,0.050000,0.014286,8,0.960000,0.960000,0.960000,0.960000
Bob-Dylan---Knockin-On-Heavens-Door_large-v2,whisperx,None,100,101,0.010000,0.007143,4,0.995025,0.990099,1.000000,0.995025
Bob-Dylan---Knockin-On-Heavens-Door_large-v3-turbo,whisperx,15,100,102,0.070000,0.028571,16,0.950495,0.941176,0.960000,0.950495
Bob-Dylan---Knockin-On-Heavens-Door_large-v3-turbo,whisperx,None,100,101,0.140000,0.041071,23,0.865672,0.861386,0.870000,0.865672
Breaking-Benjamin---Failure,whisper_openai,large-v2,191,291,0.806283,0.884732,875,0.585062,0.518900,0.790576,0.626556
Breaking-Benjamin---Failure,whisper_openai,large-v3,191,16,1.000000,0.936299,926,0.000000,0.000000,0.000000,0.000000
Breaking-Benjamin---Failure,whisper_timestamped,large-v2,191,88,0.602094,0.583418,577,0.551971,0.886364,0.408377,0.559140
Breaking-Benjamin---Failure,whisper_timestamped,large-v3,191,243,0.691099,0.523761,518,0.576037,0.522634,0.664921,0.585253
Breaking-Benjamin---Failure,whisper_timestamped,small,191,157,0.518325,0.394338,390,0.568966,0.636943,0.523560,0.574713
Breaking-Benjamin---Failure_large-v2,whisperx,15,191,196,0.094241,0.066734,66,0.925065,0.913265,0.937173,0.925065
Breaking-Benjamin---Failure_large-v2,whisperx,None,191,194,0.078534,0.053589,53,0.935065,0.927835,0.942408,0.935065
Breaking-Benjamin---Failure_large-v3-turbo,whisperx,15,191,195,0.089005,0.061678,61,0.922280,0.912821,0.931937,0.922280
Breaking-Benjamin---Failure_large-v3-turbo,whisperx,None,191,192,0.099476,0.065723,65,0.913838,0.911458,0.916230,0.913838
Bryan-Adams---Summer-Of-69,whisper_openai,large-v2,262,272,0.194656,0.141833,178,0.853933,0.860294,0.893130,0.876404
Bryan-Adams---Summer-Of-69,whisper_openai,large-v3,262,297,0.282443,0.218327,274,0.822898,0.787879,0.893130,0.837209
Bryan-Adams---Summer-Of-69,whisper_timestamped,large-v2,262,192,0.366412,0.312351,392,0.731278,0.885417,0.648855,0.748899
Bryan-Adams---Summer-Of-69,whisper_timestamped,large-v3,262,211,0.381679,0.303586,381,0.706131,0.881517,0.709924,0.786469
Bryan-Adams---Summer-Of-69,whisper_timestamped,small,262,207,0.442748,0.355378,446,0.639659,0.797101,0.629771,0.703625
Bryan-Adams---Summer-Of-69_large-v2,whisperx,15,262,251,0.236641,0.186454,234,0.842105,0.880478,0.843511,0.861598
Bryan-Adams---Summer-Of-69_large-v2,whisperx,None,262,267,0.167939,0.120319,151,0.884688,0.887640,0.904580,0.896030
Bryan-Adams---Summer-Of-69_large-v3-turbo,whisperx,15,262,251,0.236641,0.188845,237,0.838207,0.876494,0.839695,0.857700
Bryan-Adams---Summer-Of-69_large-v3-turbo,whisperx,None,262,268,0.198473,0.144223,181,0.864151,0.876866,0.896947,0.886792
Carolina-Deslandes---A-Vida-Toda,whisper_openai,large-v2,374,372,0.050802,0.020185,35,0.959786,0.967742,0.962567,0.965147
Carolina-Deslandes---A-Vida-Toda,whisper_openai,large-v3,374,398,0.096257,0.068627,119,0.945596,0.922111,0.981283,0.950777
Carolina-Deslandes---A-Vida-Toda,whisper_timestamped,large-v2,374,243,0.401070,0.366205,635,0.732577,0.942387,0.612299,0.742301
Carolina-Deslandes---A-Vida-Toda,whisper_timestamped,large-v3,374,374,0.061497,0.028258,49,0.951872,0.957219,0.957219,0.957219
Carolina-Deslandes---A-Vida-Toda-whisperx-large-v2-15,whisperx,,374,365,0.064171,0.029988,52,0.955345,0.972603,0.949198,0.960758
