lyric_word,time,ref_word,start,end
 twentyfive,29.6,,,
trying,33.2,trying,32.28,33.38
hope ,36.81,hope,36.3,36.9
destination,40.39,,,
realized,43.99,realized,43.76,44.2
world  ,47.58,world,47.16,47.6
man ,50.73,man.,50.58,51.12
means ,54.77,means.,54.3,54.74
cry,58.33,cry,58.09,58.35
get,61.92,get,61.43,61.83
 I,65.52,"I,",65.07,65.13
peculiar,69.13,peculiar.,68.4,68.9
wake,72.7,wake,72.43,72.81
take,76.27,take,75.99,76.23
scream,79.85,scream,79.61,80.27
on ,83.4,,,
hey,86.92,"hey,",86.48,86.96
hey,90.5,,,
hey ,94.05,hey.,93.71,94.01
on ,97.61,,,
hey,101.12,"hey,",100.7,101.12
hey,104.69,"hey,",104.23,104.61
hey ,108.22,hey.,107.86,108.14
on ,111.77,,,
try,143.89,,,
try,147.45,,,
time,151.02,,,
institution,154.6,,,
pray ,158.16,,,
pray ,161.75,,,
day,165.34,,,
revolution,168.92,,,
cry,172.45,cry,172.17,172.53
get,176.02,get,175.53,175.93
 I,179.56,,,
peculiar,183.08,peculiar.,183.43,183.45
wake,186.61,wake,186.33,186.65
take,190.15,take,189.81,190.17
scream,193.67,scream,193.4,194.1
on ,197.22,,,
hey,200.73,"Hey,",200.71,201.11
hey,204.28,,,
hey ,207.81,hey.,207.47,207.81
on ,211.36,,,
hey,214.85,hey.,214.48,214.86
hey,218.37,,,
hey ,221.88,hey.,221.52,221.9
on ,225.4,,,
hey,228.94,hey.,228.53,228.95
hey,232.48,,,
hey ,235.99,hey.,235.69,236.03
on ,239.51,,,
hey,243.02,hey.,242.61,243.03
hey,246.57,,,
hey ,250.1,,,
on ,253.65,,,
 twentyfive,272.37,Twenty-five,272.4,273.26
trying,276.55,trying,275.46,276.76
hope ,280.76,hope,280.2,280.78
destination,285.02,,,
