lyric_word,time,ref_word,start,end
 twentyfive,29.6,Twenty-five,29.987,30.488
trying,33.2,trying,33.151,33.631
hope ,36.81,hope,36.654,38.997
destination,40.39,destination.,39.498,41.079
realized,43.99,realized,44.003,44.624
world  ,47.58,world,47.607,47.827
man ,50.73,man,50.93,53.633
means ,54.77,means,54.574,55.115
cry,58.33,cry,58.269,58.69
get,61.92,get,61.915,62.275
 I,65.52,"I,",65.22,66.121
peculiar,69.13,peculiar,68.706,69.507
wake,72.7,wake,72.656,73.537
take,76.27,take,76.259,76.54
scream,79.85,scream,80.223,80.503
on ,83.4,on?,83.066,83.226
hey,86.92,"hey,",86.231,86.911
hey,90.5,,,
hey ,94.05,"hey,",94.118,96.22
on ,97.61,on?,97.801,97.882
hey,101.12,"hey,",100.463,100.683
hey,104.69,,,
hey ,108.22,,,
on ,111.77,,,
try,143.89,,,
try,147.45,"try,",147.18,147.501
time,151.02,time,151.066,152.989
institution,154.6,institution,153.75,154.712
pray ,158.16,pray,157.897,158.257
pray ,161.75,pray,161.528,163.272
day,165.34,day,165.056,165.216
revolution,168.92,revolution,167.842,168.584
cry,172.45,crazy,172.372,173.292
get,176.02,get,175.995,176.335
 I,179.56,"I,",179.178,180.239
peculiar,183.08,peculiar,182.642,183.562
wake,186.61,wake,186.615,187.036
take,190.15,take,190.098,190.378
scream,193.67,scream,194.04,194.32
on ,197.22,on?,197.382,197.843
hey,200.73,"hey,",200.337,200.697
hey,204.28,"hey,",204.283,204.984
hey ,207.81,"hey,",207.629,207.969
on ,211.36,,,
hey,214.85,"hey,",214.204,214.444
hey,218.37,"hey,",218.189,218.35
hey ,221.88,,,
on ,225.4,,,
hey,228.94,"hey,",228.611,228.891
hey,232.48,"hey,",232.115,232.415
hey ,235.99,,,
on ,239.51,,,
hey,243.02,,,
hey,246.57,,,
hey ,250.1,,,
on ,253.65,,,
 twentyfive,272.37,,,
trying,276.55,trying,276.54,277.04
hope ,280.76,hope.,280.523,280.903
destination,285.02,destination,283.724,284.768
