lyric_word,time,ref_word,start,end
 twentyfive,29.6,,,
trying,33.2,Trying,33.168,33.608
hope ,36.81,hope,36.669,37.029
destination,40.39,destination,39.51,41.211
realized,43.99,Realized,43.991,44.552
world  ,47.58,world,47.412,47.773
man ,50.73,man,50.934,51.454
means ,54.77,means,54.575,54.995
cry,58.33,cry,58.288,58.669
get,61.92,get,61.891,62.171
 I,65.52,"I,",65.334,65.434
peculiar,69.13,peculiar.,68.716,69.757
wake,72.7,wake,72.659,72.959
take,76.27,take,76.281,76.542
scream,79.85,scream,80.224,80.484
on ,83.4,on?,83.066,83.106
hey,86.92,,,
hey,90.5,"hey,",90.551,91.412
hey ,94.05,"hey,",93.872,94.392
on ,97.61,on?,97.753,97.933
hey,101.12,,,
hey,104.69,"hey,",102.094,104.555
hey ,108.22,,,
on ,111.77,on?,111.937,112.037
try,143.89,,,
try,147.45,try,147.179,147.819
time,151.02,time,150.76,151.12
institution,154.6,institution,153.101,155.202
pray ,158.16,pray,157.863,158.483
pray ,161.75,pray,161.464,162.185
day,165.34,day,165.086,165.606
revolution,168.92,revolution,168.127,170.188
cry,172.45,crazy,172.391,173.152
get,176.02,get,175.993,176.273
 I,179.56,,,
peculiar,183.08,peculiar,182.836,183.796
wake,186.61,,,
take,190.15,take,190.119,190.399
scream,193.67,scream,194.041,194.341
on ,197.22,,,
hey,200.73,,,
hey,204.28,"hey,",202.436,204.056
hey ,207.81,"hey,",207.637,208.197
on ,211.36,on?,211.538,211.718
hey,214.85,,,
hey,218.37,"hey,",217.719,218.239
hey ,221.88,,,
on ,225.4,,,
hey,228.94,,,
hey,232.48,"hey,",231.834,234.156
hey ,235.99,"hey,",235.857,236.398
on ,239.51,on?,239.701,239.881
hey,243.02,"hey,",242.784,243.905
hey,246.57,,,
hey ,250.1,,,
on ,253.65,,,
 twentyfive,272.37,,,
trying,276.55,,,
hope ,280.76,,,
destination,285.02,destination,283.985,285.19
