lyric_word,time,ref_word,start,end
Finished,12.14,,,
Couldnt,15.06,,,
 with,16.49,,,
my,16.86,,,
mind,17.22,,,
I,20.95,,,
all,22.4,,,
the,22.76,,,
time,23.1,,,
all,35.59,,,
Nothing,38.55,Nothing,38.67,38.99
satisfy,39.96,satisfy.,39.83,40.81
satisfy,40.33,satisfy.,39.83,40.81
satisfy,40.66,satisfy.,39.83,40.81
Find,44.4,,,
pacify,45.83,,,
pacify,46.19,,,
pacify,46.54,,,
brain,53.27,,,
yeah,56.24,,,
I,70.86,,,
Things,73.84,,,
I,75.3,,,
cant,75.67,,,
find,76.03,,,
Happiness,79.79,,,
must,81.24,,,
be,81.59,,,
blind,81.93,,,
Make,117.75,,,
you,120.76,,,
I,122.21,,,
will,122.56,,,
cry,122.9,,,
love,126.63,,,
so,128.06,,,
unreal,128.4,,,
unreal,128.76,,,
and,141.28,,,
Telling,144.27,,,
of,145.72,,,
my,146.07,,,
state,146.43,,,
wish,150.19,,,
its,151.65,,,
too,151.98,,,
late,152.33,,,
