lyric_word,time,ref_word,start,end
Finished,12.14,Finished,12.12,12.721
Couldnt,15.06,couldn't,14.986,15.627
 with,16.49,with,16.489,16.669
my,16.86,my,16.729,17.01
mind,17.22,,,
I,20.95,I,21.037,21.138
all,22.4,all,22.54,22.62
the,22.76,the,22.64,22.881
time,23.1,time.,23.061,23.622
all,35.59,All,35.673,35.813
Nothing,38.55,nothing,38.494,39.094
satisfy,39.96,satisfy,39.795,41.075
satisfy,40.33,satisfy,39.795,41.075
satisfy,40.66,satisfy,39.795,41.075
Find,44.4,find,44.236,44.576
pacify,45.83,,,
pacify,46.19,,,
pacify,46.54,,,
brain,53.27,,,
yeah,56.24,,,
I,70.86,I,70.962,71.022
Things,73.84,things,74.046,74.467
I,75.3,I,75.308,75.468
cant,75.67,can,75.508,75.928
find,76.03,find.,75.968,76.369
Happiness,79.79,happiness.,79.633,80.674
must,81.24,must,81.215,81.375
be,81.59,be,81.395,81.455
blind,81.93,blind.,81.495,81.776
Make,117.75,Make,117.716,117.956
you,120.76,you,120.6,120.8
I,122.21,I,122.402,122.422
will,122.56,will,122.442,122.702
cry,122.9,cry.,122.782,123.243
love,126.63,love,126.547,126.767
so,128.06,so,128.049,128.51
unreal,128.4,unreal.,128.61,129.09
unreal,128.76,unreal.,128.61,129.09
and,141.28,And,141.344,141.504
Telling,144.27,telling,143.786,144.367
of,145.72,of,145.668,145.828
my,146.07,my,145.908,146.369
state,146.43,state.,146.389,146.789
wish,150.19,wish,150.112,150.312
its,151.65,,,
too,151.98,,,
late,152.33,,,
