lyric_word,time,ref_word,start,end
Mama,30.44,"Mama,",30.19,30.53
badge,30.68,,,
I,37.16,,,
use,37.55,,,
anymore ,39.24,,,
its,44.13,It's,43.89,44.07
 too,44.48,,,
see ,46.21,see.,46.35,46.63
knockin,51.35,knocking,51.48,52.1
door ,53.07,door.,53.34,53.62
 knock,57.7,"Knock,",57.53,58.17
knockin,58.26,"Knock,",57.53,58.17
door ,59.98,,,
 knock,64.86,"Knock,",64.66,65.0
knockin,65.15,knockin'.,63.98,64.66
door ,66.9,,,
 knock,71.79,,,
knockin,72.07,,,
door ,73.78,,,
 knock,78.6,,,
knockin,78.94,,,
door ,80.67,,,
Mama,85.5,"Mama,",85.26,85.67
guns,85.84,guns,86.25,87.27
ground ,87.54,ground.,87.39,88.11
I,92.2,I,92.28,92.3
shoot,92.7,shoot,92.78,93.18
anymore ,94.36,anymore.,93.66,95.16
that,99.0,That,98.78,98.9
black,99.48,black,99.6,100.02
down ,101.17,,,
 I,105.8,I,105.53,105.83
knockin,106.32,knocking,106.47,107.09
door ,108.03,door.,108.27,108.73
 knock,112.7,"Knock,",112.37,112.83
knockin,113.17,knockin',113.63,114.21
door ,114.89,,,
 knock,119.59,,,
knockin,120.03,,,
door ,121.74,,,
 knock,126.32,,,
knockin,126.84,,,
door ,128.56,,,
 knock,133.2,"Knock,",132.79,133.39
knockin,133.7,"Knock,",132.79,133.39
door ,135.43,,,
