lyric_word,time,ref_word,start,end
Mama,30.44,Mama,16.287,30.575
badge,30.68,,,
I,37.16,I,37.218,37.298
use,37.55,use,37.919,38.219
anymore ,39.24,anymore,39.039,39.88
its,44.13,It's,43.831,43.951
 too,44.48,,,
see ,46.21,see,46.332,47.492
knockin,51.35,knocking,51.533,52.074
door ,53.07,door,53.234,54.995
 knock,57.7,"Knock,",57.735,58.116
knockin,58.26,knocking,58.616,59.096
door ,59.98,door,60.176,61.557
 knock,64.86,"Knock,",64.658,64.998
knockin,65.15,knocking,65.518,65.978
door ,66.9,door,67.098,67.719
 knock,71.79,"Knock,",71.562,71.982
knockin,72.07,knocking,72.422,72.862
door ,73.78,door,73.943,75.363
 knock,78.6,"Knock,",78.464,78.784
knockin,78.94,knocking,79.284,79.724
door ,80.67,door,80.824,82.685
Mama,85.5,Mama,85.365,85.706
guns,85.84,,,
ground ,87.54,ground,87.466,88.206
I,92.2,I,92.307,92.407
shoot,92.7,shoot,92.827,93.207
anymore ,94.36,anymore,94.208,95.148
that,99.0,That,98.719,98.959
black,99.48,black,99.659,99.999
down ,101.17,down,101.34,103.14
 I,105.8,I,105.641,105.761
knockin,106.32,knocking,106.461,107.021
door ,108.03,door,108.142,109.902
 knock,112.7,"Knock,",112.623,112.963
knockin,113.17,knocking,113.503,113.943
door ,114.89,door,115.024,116.924
 knock,119.59,"Knock,",119.485,119.825
knockin,120.03,knocking,120.345,120.805
door ,121.74,door,121.845,122.206
 knock,126.32,"Knock,",126.284,126.604
knockin,126.84,knocking,127.165,127.625
door ,128.56,door.,128.686,130.568
 knock,133.2,"Knock,",133.13,133.511
knockin,133.7,knocking,133.991,134.492
door ,135.43,door.,135.573,136.614
