lyric_word,time,ref_word,start,end
Mama,30.44,Mama,30.241,30.562
badge,30.68,,,
I,37.16,I,37.175,37.275
use,37.55,use,37.976,38.216
anymore ,39.24,anymore,39.037,40.298
its,44.13,It's,43.842,43.982
 too,44.48,,,
see ,46.21,see,46.344,46.645
knockin,51.35,knocking,51.523,52.104
door ,53.07,door,53.246,54.227
 knock,57.7,"Knock,",57.753,58.114
knockin,58.26,knocking,58.635,59.095
door ,59.98,door,60.177,60.898
 knock,64.86,"Knock,",64.64,65.001
knockin,65.15,knocking,65.521,66.002
door ,66.9,door,67.083,68.805
 knock,71.79,"Knock,",71.548,71.948
knockin,72.07,knocking,72.429,72.929
door ,73.78,door,73.95,74.811
 knock,78.6,"Knock,",78.445,78.766
knockin,78.94,knockin',79.287,79.747
door ,80.67,,,
Mama,85.5,Mama,85.377,85.717
guns,85.84,,,
ground ,87.54,ground,87.48,88.061
I,92.2,I,92.285,92.405
shoot,92.7,shoot,92.806,93.166
anymore ,94.36,anymore,94.207,96.109
that,99.0,That,98.732,98.952
black,99.48,black,99.673,99.933
down ,101.17,down,101.355,101.835
 I,105.8,I,105.787,105.807
knockin,106.32,knocking,106.448,107.01
door ,108.03,door.,108.152,109.856
 knock,112.7,"Knock,",112.642,112.983
knockin,113.17,knocking,113.504,113.965
door ,114.89,door.,115.047,115.909
 knock,119.59,"Knock,",119.45,119.831
knockin,120.03,knocking,120.331,120.832
door ,121.74,door.,121.853,123.514
 knock,126.32,"Knock,",126.277,126.618
knockin,126.84,knocking,127.178,127.639
door ,128.56,door.,128.68,128.78
 knock,133.2,"Knock,",133.135,133.495
knockin,133.7,"Knock,",133.135,133.495
door ,135.43,door.,135.556,137.297
