lyric_word,time,ref_word,start,end
I,5.19,I,4.62,5.12
 six-string,7.53,"string,",6.84,7.22
 played,11.7,played,10.66,11.8
 was,15.3,was,14.02,14.94
 me,18.5,Me,17.42,18.56
 had,21.8,had,20.58,21.76
 Jimmy,25.3,Timmy,24.62,25.58
 should,28.7,should've,28.52,28.94
 oh,33.0,"Oh,",32.72,32.86
look,33.53,look,33.3,33.48
 that,35.27,that,34.56,35.68
last,37.02,last,36.78,37.18
 and,39.47,And,39.28,39.44
had,40.47,had,40.2,40.66
 yeah,43.21,"yeah,",41.72,42.98
wanna,43.94,,,
 those,46.37,Those,46.1,46.34
best,47.4,best,47.2,47.52
life,49.12,life.,48.76,49.2
 complaining,58.76,complaining,58.07,58.45
 when,60.39,when,58.45,60.15
 spent,63.4,spent,62.01,63.21
 and,67.7,,,
 standing,70.8,Standing,69.91,70.87
mamas,71.65,mama's,71.49,72.01
 you,73.9,you,72.85,73.46
wait,75.13,waits,74.9,75.3
 and,77.87,,,
held,78.6,held,78.58,78.7
 I,80.77,,,
now,82.04,,,
 those,84.48,,,
best,85.53,best,85.45,85.63
life,87.25,life,86.73,87.25
yeah ,90.71,,,
sixty,94.18,,,
 man,102.06,,,
killing,102.81,,,
young,104.55,,,
needed,106.29,"need,",106.0,106.3
 I,108.89,,,
nothing,109.76,,,
forever,111.49,,,
 and,129.5,,,
 look,132.7,Look,132.57,132.69
 sometimes,136.72,times,136.23,136.59
 think,140.18,,,
 standing,143.31,Standing,142.89,143.55
mamas,144.36,mama's,144.25,144.69
 you,146.51,,,
last,147.85,lasted,147.64,147.82
 oh,150.44,,,
held,151.32,,,
 I,153.5,,,
now,154.77,,,
 those,156.99,Those,157.07,157.17
best,158.25,best,157.91,158.21
life,159.95,life,159.47,160.07
yeah ,163.41,,,
sixty,166.89,,,
sixty,173.8,,,
sixty,180.74,,,
