lyric_word,time,ref_word,start,end
I,5.19,I,5.207,5.307
 six-string,7.53,string,7.028,7.449
 played,11.7,Played,11.652,12.092
 was,15.3,Was,14.874,15.114
 me,18.5,Me,18.577,19.017
 had,21.8,Had,21.819,22.079
 Jimmy,25.3,Timmy,25.301,25.621
 should,28.7,should've,28.744,29.104
 oh,33.0,,,
look,33.53,look,33.453,33.693
 that,35.27,that,34.614,35.815
last,37.02,last,36.996,37.336
 and,39.47,And,39.578,39.779
had,40.47,had,40.599,40.9
 yeah,43.21,"yeah,",42.841,43.562
wanna,43.94,,,
 those,46.37,Those,46.305,46.665
best,47.4,best,47.406,47.766
life,49.12,life.,49.087,49.568
 complaining,58.76,complaining,58.426,59.427
 when,60.39,When,60.148,60.608
 spent,63.4,spend,63.27,63.57
 and,67.7,,,
 standing,70.8,Standing,70.476,71.217
mamas,71.65,mama's,71.657,72.177
 you,73.9,You,73.799,73.979
wait,75.13,waits,75.14,75.46
 and,77.87,,,
held,78.6,held,78.703,78.803
 I,80.77,I,80.806,80.926
now,82.04,now,82.027,82.388
 those,84.48,Those,84.429,84.75
best,85.53,best,85.51,85.871
life,87.25,life.,87.232,87.732
yeah ,90.71,yeah.,90.495,91.295
sixty,94.18,,,
 man,102.06,,,
killing,102.81,,,
young,104.55,,,
needed,106.29,needed,106.308,106.809
 I,108.89,I,109.2,109.28
nothing,109.76,nothing,109.7,110.12
forever,111.49,"forever,",110.78,111.961
 and,129.5,And,129.525,129.705
 look,132.7,Look,132.646,132.886
 sometimes,136.72,Sometimes,136.352,136.752
 think,140.18,think,139.574,139.774
 standing,143.31,Standing,143.196,143.937
mamas,144.36,mama's,144.357,144.877
 you,146.51,You,146.518,146.718
last,147.85,last,147.839,148.139
 oh,150.44,"Oh,",150.701,150.861
held,151.32,held,151.361,151.541
 I,153.5,,,
now,154.77,now,154.803,155.203
 those,156.99,Those,157.125,157.505
best,158.25,best,158.245,158.566
life,159.95,life,159.886,160.407
yeah ,163.41,yeah,163.188,163.889
sixty,166.89,,,
sixty,173.8,,,
sixty,180.74,,,
