lyric_word,time,ref_word,start,end
I,5.19,I,5.207,5.307
 six-string,7.53,string,7.03,7.451
 played,11.7,Played,11.657,12.118
 was,15.3,Was,14.882,15.123
 me,18.5,Me,18.588,18.989
 had,21.8,Had,21.812,22.073
 Jimmy,25.3,,,
 should,28.7,should've,28.762,29.102
 oh,33.0,,,
look,33.53,look,33.472,33.692
 that,35.27,That,34.633,35.794
last,37.02,last,36.994,37.334
 and,39.47,And,39.576,39.756
had,40.47,had,40.596,40.896
 yeah,43.21,"Yeah,",42.828,43.55
wanna,43.94,wanna,43.931,44.732
 those,46.37,Those,46.295,46.676
best,47.4,best,47.378,47.758
life,49.12,life,49.081,49.582
 complaining,58.76,complaining,58.446,59.447
 when,60.39,When,60.168,60.609
 spent,63.4,spend,63.251,63.571
 and,67.7,And,67.597,67.697
 standing,70.8,Standing,70.459,71.219
mamas,71.65,mama's,71.659,72.16
 you,73.9,You,73.78,73.961
wait,75.13,waits,75.141,75.441
 and,77.87,,,
held,78.6,held,78.703,78.783
 I,80.77,I,80.826,80.927
now,82.04,now,82.028,82.389
 those,84.48,Those,84.433,84.773
best,85.53,best,85.515,85.875
life,87.25,life,87.218,87.759
yeah ,90.71,yeah,90.503,91.145
sixty,94.18,,,
 man,102.06,,,
killing,102.81,,,
young,104.55,,,
needed,106.29,,,
 I,108.89,,,
nothing,109.76,,,
forever,111.49,,,
 and,129.5,And,129.537,129.698
 look,132.7,Look,132.662,132.883
 sometimes,136.72,Sometimes,136.352,136.752
 think,140.18,Think,139.575,139.775
 standing,143.31,Standing,143.198,143.938
mamas,144.36,mama's,144.358,144.839
 you,146.51,You,146.5,146.68
last,147.85,lasts,147.842,148.122
 oh,150.44,,,
held,151.32,held,151.145,151.526
 I,153.5,I,153.508,153.628
now,154.77,,,
 those,156.99,Those,157.132,157.512
best,158.25,best,158.233,158.554
life,159.95,life,159.895,160.335
yeah ,163.41,yeah,163.167,164.03
sixty,166.89,,,
sixty,173.8,,,
sixty,180.74,,,
