lyric_word,time,ref_word,start,end
lonely,7.21,"lonely,",7.46,7.9
 you,8.91,,,
here,10.58,here,10.44,11.0
waiting,11.42,waiting,11.0,11.88
you,12.27,you.,12.1,12.64
cross-hair,13.95,crosshead.,13.7,15.1
 Im,15.64,I'm,15.79,16.41
shot,17.33,shot,17.19,18.49
away,18.16,away,18.49,18.51
you ,19.01,you.,18.79,19.29
leave,20.69,leave,20.35,20.87
 you,22.39,,,
broken,24.06,"broken,",23.89,24.95
shattered,24.9,shattered,25.01,25.59
lie ,25.74,lie.,26.07,26.09
cross-hair,27.42,crosshead.,27.13,28.35
 Im,29.1,,,
shot,30.76,"shot,",30.63,32.97
then,31.61,,,
die ,32.45,,,
I,40.86,,,
I,42.55,,,
leaving,44.24,,,
 with,45.94,,,
you,47.64,,,
 I,82.68,,,
 I,87.27,,,
 take,89.57,,,
 I,91.84,,,
 I,96.44,,,
 take,99.95,,,
 I,110.16,,,
 I,114.74,,,
 take,118.05,,,
 If,119.31,,,
 I,123.9,,,
 to take,126.2,,,
out,128.48,,,
I,133.06,,,
leaving,135.32,,,
here,135.87,,,
I,137.53,I,137.18,137.76
leaving,139.75,leaving,139.72,140.08
here,140.31,here.,140.08,140.8
I,141.98,I,141.48,142.22
leaving,144.21,,,
here,144.77,,,
I,146.43,,,
leaving,148.65,leaving,148.49,148.71
here,149.22,here,148.71,149.83
you,150.9,you.,150.83,151.45
 I,160.07,,,
 I,164.71,,,
 take,168.19,,,
 wane,169.94,,,
 I,173.92,,,
 take,177.38,,,
 I,178.52,,,
 come,183.17,,,
 take,186.6,,,
out,187.77,,,
I,201.57,,,
leaving,203.82,,,
here,204.36,,,
I,206.03,,,
leaving,208.28,leaving,208.77,208.79
here,208.83,here.,208.79,209.71
I,210.49,I,210.15,210.93
leaving,212.75,,,
here,213.29,,,
I,214.95,,,
leaving,217.16,,,
here,217.73,here,217.13,218.43
you,219.42,you.,218.93,219.99
