lyric_word,time,ref_word,start,end
lonely,7.21,,,
 you,8.91,you,9.277,9.537
here,10.58,here,10.558,11.238
waiting,11.42,waiting,11.398,11.738
you,12.27,you.,12.479,12.539
cross-hair,13.95,crosshair.,13.7,14.88
 Im,15.64,,,
shot,17.33,shot,17.242,18.002
away,18.16,away,18.042,18.483
you ,19.01,you.,18.803,19.143
leave,20.69,leave,20.444,21.564
 you,22.39,you,22.785,23.165
broken,24.06,"broken,",24.066,24.706
shattered,24.9,"shattered,",24.867,25.327
lie ,25.74,alive.,25.427,26.107
cross-hair,27.42,crosshair.,27.188,28.109
 Im,29.1,I'm,29.59,29.89
shot,30.76,shot,30.711,31.552
then,31.61,,,
die ,32.45,die,32.212,33.293
I,40.86,,,
I,42.55,,,
leaving,44.24,leaving,44.183,44.803
 with,45.94,with,45.824,45.904
you,47.64,,,
 I,82.68,I,83.084,83.164
 I,87.27,I,87.587,87.687
 take,89.57,Take,88.367,91.149
 I,91.84,I,92.229,92.31
 I,96.44,I,96.792,96.892
 take,99.95,,,
 I,110.16,I,110.475,110.635
 I,114.74,,,
 take,118.05,,,
 If,119.31,If,119.503,119.583
 I,123.9,I,123.827,123.847
 to take,126.2,,,
out,128.48,out,128.591,128.651
I,133.06,I,133.461,133.581
leaving,135.32,leavin',135.603,136.705
here,135.87,,,
I,137.53,I,137.906,138.026
leaving,139.75,leavin',139.809,140.129
here,140.31,here,140.209,141.25
I,141.98,,,
leaving,144.21,,,
here,144.77,,,
I,146.43,,,
leaving,148.65,,,
here,149.22,,,
you,150.9,,,
 I,160.07,I,160.375,160.515
 I,164.71,I,164.619,164.639
 take,168.19,take,168.101,168.602
 wane,169.94,,,
 I,173.92,I,173.886,173.906
 take,177.38,take,177.309,177.829
 I,178.52,I,178.89,179.03
 come,183.17,Come,183.434,185.455
 take,186.6,take,186.596,187.117
out,187.77,out.,187.937,188.118
I,201.57,I,201.955,202.096
leaving,203.82,leaving,204.078,205.239
here,204.36,,,
I,206.03,I,206.421,206.541
leaving,208.28,leaving,208.183,208.643
here,208.83,here.,208.703,210.325
I,210.49,I,210.886,210.986
leaving,212.75,leaving,212.988,214.23
here,213.29,,,
I,214.95,I,215.331,215.451
leaving,217.16,leaving,217.454,218.695
here,217.73,,,
you,219.42,you.,219.396,219.656
