lyric_word,time,ref_word,start,end
sheets,24.45,,,
canvas,27.61,"canvas,",26.63,27.75
 sheets,30.74,sheets,30.53,31.31
 were,36.54,,,
laid,37.02,,,
 me,40.24,"me,",39.7,40.48
her,43.37,her,42.91,43.13
all,49.7,,,
horizons,52.9,horizons,51.77,53.37
around,56.03,around,55.51,56.17
 as,59.18,,,
now,62.32,now,61.16,62.48
tasted,65.49,tasted,64.9,65.56
 taken,68.63,taken,68.28,69.28
everything,81.2,everything,80.27,80.73
 that,92.98,,,
 hands,100.14,hands,99.85,100.55
the,103.29,the,102.85,103.27
everything,106.44,,,
pictures,109.57,pictures,108.73,109.33
in,112.67,in,112.39,112.65
everything,115.79,,,
 I,118.98,,,
walk,122.11,walk,120.8,121.66
surrounded,125.24,surrounded,124.6,125.2
play,128.34,,,
I,131.49,I,131.41,131.51
laughter,134.68,laughter,133.97,134.85
why,137.78,why,137.21,138.47
head,150.3,,,
Im,156.5,,,
away,162.68,,,
bitter,168.54,,,
glass,172.06,,,
everything ,175.2,everything,174.95,174.97
pictures ,178.29,pictures,177.85,178.03
in,181.36,in,181.13,181.37
everything ,184.51,,,
 gone,187.57,gone,187.35,187.69
world ,190.65,world,189.75,190.43
 see,193.75,see,193.33,193.99
 am,196.84,am,196.55,197.3
be,199.92,be,199.21,199.6
