lyric_word,time,ref_word,start,end
sheets,24.45,Sheets,24.35,25.112
canvas,27.61,canvas,27.135,28.498
 sheets,30.74,sheets,31.083,31.704
 were,36.54,,,
laid,37.02,,,
 me,40.24,,,
her,43.37,her,43.153,43.733
all,49.7,,,
horizons,52.9,horizons,52.125,53.567
around,56.03,around,56.01,56.991
 as,59.18,as,59.453,59.553
now,62.32,Now,62.285,62.907
tasted,65.49,tasted,65.293,65.854
 taken,68.63,taken,69.122,69.503
everything,81.2,everything,80.635,81.758
 that,92.98,that,92.964,93.244
 hands,100.14,hands,100.277,100.998
the,103.29,the,103.243,103.324
everything,106.44,everything.,105.729,107.072
pictures,109.57,pictures,109.136,110.398
in,112.67,,,
everything,115.79,everything.,115.146,115.867
 I,118.98,,,
walk,122.11,walk,121.679,122.199
surrounded,125.24,surrounded,124.78,125.721
play,128.34,play,128.542,129.123
I,131.49,I,131.98,132.141
laughter,134.68,"laughter,",134.402,135.623
why,137.78,,,
head,150.3,head,150.646,151.827
Im,156.5,I'm,156.17,156.39
away,162.68,away,162.359,167.545
bitter,168.54,bitter,168.526,168.986
glass,172.06,glass,172.19,172.911
everything ,175.2,everything.,174.473,175.974
pictures ,178.29,,,
in,181.36,in,181.421,181.541
everything ,184.51,everything,183.804,185.346
 gone,187.57,gone,187.73,188.05
world ,190.65,world,190.194,190.935
 see,193.75,see,194.04,194.801
 am,196.84,am,196.744,196.804
be,199.92,be.,199.566,205.29
