lyric_word,time,ref_word,start,end
sheets,24.45,sheets,24.34,25.141
canvas,27.61,canvas,27.143,28.463
 sheets,30.74,sheets,31.085,31.706
 were,36.54,were,36.409,36.89
laid,37.02,laid,36.99,37.65
 me,40.24,me,40.392,40.612
her,43.37,her,43.175,43.735
all,49.7,,,
horizons,52.9,horizons,52.139,53.559
around,56.03,around,56.0,57.001
 as,59.18,,,
now,62.32,Now,62.303,62.923
tasted,65.49,tasted,65.284,65.864
 taken,68.63,taken,69.125,69.485
everything,81.2,everything.,80.622,81.963
 that,92.98,that,92.968,93.248
 hands,100.14,hands,100.274,101.015
the,103.29,the,103.217,103.337
everything,106.44,everything.,105.719,107.24
pictures,109.57,pictures,109.142,109.702
in,112.67,in,112.665,112.805
everything,115.79,everything.,115.147,115.887
 I,118.98,,,
walk,122.11,walk,122.259,122.619
surrounded,125.24,surrounded,124.78,125.72
play,128.34,play,128.542,129.602
I,131.49,,,
laughter,134.68,laughter,134.424,135.665
why,137.78,,,
head,150.3,head,150.646,151.526
Im,156.5,I'm,156.189,156.369
away,162.68,away,162.352,167.335
bitter,168.54,bitter,168.515,168.976
glass,172.06,glass,172.217,172.918
everything ,175.2,everything,174.479,175.779
pictures ,178.29,pictures,177.821,178.321
in,181.36,in,181.423,181.543
everything ,184.51,everything,183.804,185.365
 gone,187.57,gone,187.726,188.046
world ,190.65,world,190.167,190.928
 see,193.75,see,194.029,194.77
 am,196.84,,,
be,199.92,be,199.552,199.692
