lyric_word,time,ref_word,start,end
you,34.27,"you,",33.7,34.48
feel,40.7,feel,40.36,40.82
you,44.98,"you,",44.41,45.13
feel,51.38,feel,51.17,51.55
 hey,55.67,Hey,56.04,56.22
light,59.93,,,
dont,66.36,,,
  without,68.5,without,68.97,69.76
fight,70.64,fight.,70.4,70.8
you,79.18,"you,",78.64,79.4
touch,85.59,touch,85.3,85.64
you,89.88,"you,",89.34,89.84
touch,96.29,touch,96.0,96.38
stone,104.83,stone?,104.47,105.01
open,111.23,Open,111.31,111.52
home,115.54,home.,115.08,115.49
 but,175.39,,,
only,176.45,only,176.33,176.95
fantasy,177.53,fantasy.,176.95,177.85
fantasy,178.09,fantasy.,176.95,177.85
 the,182.6,The,182.13,182.59
high,183.94,"high,",183.63,184.17
you,185.01,you,184.85,184.97
can,185.54,can,184.97,185.35
see,186.07,see.,185.35,186.11
tried,191.41,"tried,",191.16,191.56
not,192.49,not,192.18,192.64
break,192.99,break,192.64,193.06
free,193.55,free.,193.06,193.6
into,198.92,into,198.78,199.14
brain,199.99,brain.,199.76,200.24
you,234.17,,,
help,240.62,,,
you,244.88,,,
help,251.31,,,
all,259.89,,,
together,266.25,,,
 divided,268.42,,,
fail,270.56,,,
