lyric_word,time,ref_word,start,end
you,34.27,"you,",34.656,34.716
feel,40.7,feel,40.581,40.981
you,44.98,"you,",45.285,45.346
feel,51.38,feel,51.4,51.76
 hey,55.67,Hey,56.153,56.814
light,59.93,light,59.898,62.662
dont,66.36,Don't,66.648,67.029
  without,68.5,,,
fight,70.64,fight.,70.616,70.976
you,79.18,,,
touch,85.59,touch,85.545,85.906
you,89.88,"you,",89.876,90.216
touch,96.29,touch,96.244,96.645
stone,104.83,stone?,104.732,107.556
open,111.23,Open,111.401,111.901
home,115.54,home.,115.402,115.686
 but,175.39,But,175.773,175.953
only,176.45,only,176.674,177.295
fantasy,177.53,fantasy.,177.495,178.717
fantasy,178.09,fantasy.,177.495,178.717
 the,182.6,The,182.622,182.803
high,183.94,high,183.964,184.445
you,185.01,you,185.005,185.286
can,185.54,can,185.426,185.867
see,186.07,see.,186.007,186.307
tried,191.41,"tried,",191.404,191.965
not,192.49,not,192.505,192.765
break,192.99,break,192.926,193.326
free,193.55,free.,193.426,193.926
into,198.92,into,199.091,199.551
brain,199.99,brain.,199.972,200.432
you,234.17,,,
help,240.62,help,240.662,240.942
you,244.88,you!,244.841,245.402
help,251.31,help,251.314,251.654
all,259.89,,,
together,266.25,Together,266.219,266.56
 divided,268.42,divided,267.984,270.17
fail,270.56,fall.,270.531,271.113
