lyric_word,time,ref_word,start,end
you,34.27,"you,",34.615,34.675
feel,40.7,feel,40.578,40.998
you,44.98,"you,",45.28,45.34
feel,51.38,feel,51.382,51.802
 hey,55.67,Hey,56.144,56.865
light,59.93,light,59.906,62.587
dont,66.36,Don't,66.623,67.003
  without,68.5,,,
fight,70.64,fight,70.604,70.984
you,79.18,you,79.306,79.626
touch,85.59,touch,85.528,85.908
you,89.88,"you,",89.875,90.236
touch,96.29,touch,96.259,96.619
stone,104.83,stone?,104.744,107.486
open,111.23,Open,111.408,111.888
home,115.54,home.,115.411,115.711
 but,175.39,But,175.753,175.953
only,176.45,only,176.674,177.294
fantasy,177.53,fantasy.,177.494,178.735
fantasy,178.09,fantasy.,177.494,178.735
 the,182.6,The,182.598,182.819
high,183.94,"high,",183.939,184.44
you,185.01,you,185.0,185.3
can,185.54,can,185.421,185.861
see,186.07,see.,186.001,186.501
tried,191.41,"tried,",191.425,191.966
not,192.49,not,192.526,192.766
break,192.99,break,192.926,193.327
free,193.55,free.,193.447,193.947
into,198.92,into,199.091,199.572
brain,199.99,brain.,199.972,200.492
you,234.17,,,
help,240.62,help,240.663,240.943
you,244.88,"you,",244.841,245.421
help,251.31,help,251.306,251.687
all,259.89,,,
together,266.25,Together,266.219,266.56
 divided,268.42,divided,267.984,270.17
fail,270.56,fall.,270.531,271.113
