lyric_word,time,ref_word,start,end
 When,18.97,When,18.38,18.92
before ,20.21,"before,",19.46,19.96
 eye,25.35,eye,24.74,25.2
angel,30.47,"angel,",30.04,30.78
cry ,35.6,cry,35.07,35.43
feather,40.76,"feather,",40.09,40.91
world ,45.93,world,44.82,45.82
special,51.13,"special,",50.46,51.18
special,56.36,special,55.59,56.37
weirdo,66.79,weirdo,65.85,67.57
here ,72.02,here?,71.58,72.04
belong ,77.25,belong,76.49,76.99
hurts ,82.48,hurts,82.04,82.34
control ,87.68,,,
body,92.92,body,92.22,92.96
soul ,98.16,soul,97.43,97.95
notice,103.41,notice,103.76,103.78
around ,108.71,around,107.95,108.51
special,113.93,special,113.21,113.95
special,119.18,special,118.57,119.21
weirdo,130.36,weirdo,128.74,130.08
here ,135.0,here?,134.56,135.02
belong ,140.29,belong,139.55,140.01
She,145.43,,,
door ,150.64,,,
She,155.84,,,
run,161.09,,,
run,176.27,,,
happy,186.71,happy,186.11,186.23
want,191.86,,,
special,197.02,special,196.49,197.05
special,202.09,,,
weirdo,212.51,,,
here ,217.76,here,217.24,217.46
belong ,222.94,belong,222.91,222.93
belong ,228.21,belong,227.49,227.75
