lyric_word,time,ref_word,start,end
 When,18.97,When,18.893,19.113
before ,20.21,before,19.634,20.455
 eye,25.35,eye,25.199,25.64
angel,30.47,angel,30.545,31.085
cry ,35.6,,,
feather,40.76,feather,40.363,42.325
world ,45.93,world,45.328,46.489
special,51.13,special,50.645,52.167
special,56.36,special,55.934,57.957
weirdo,66.79,widow.,66.549,68.691
here ,72.02,,,
belong ,77.25,belong,76.618,77.499
hurts ,82.48,hurts,82.209,83.37
control ,87.68,control,86.995,87.976
body,92.92,body,92.602,93.583
soul ,98.16,soul,97.792,99.712
notice,103.41,notice,103.054,105.195
around ,108.71,around,108.196,109.057
special,113.93,special,113.515,115.217
special,119.18,special,118.721,120.923
weirdo,130.36,widow,129.342,131.925
here ,135.0,,,
belong ,140.29,belong,139.654,140.475
She,145.43,,,
door ,150.64,,,
She,155.84,She's,155.785,157.688
run,161.09,,,
run,176.27,,,
happy,186.71,happy,186.298,187.339
want,191.86,want,191.544,192.065
special,197.02,special,196.61,197.551
special,202.09,special,201.617,202.958
weirdo,212.51,,,
here ,217.76,here?,217.53,218.391
belong ,222.94,belong,222.315,223.196
belong ,228.21,belong,227.613,228.595
