lyric_word,time,ref_word,start,end
 When,18.97,When,18.893,19.113
before ,20.21,before,19.633,20.474
 eye,25.35,eye,25.277,25.637
angel,30.47,angel,30.54,31.481
cry ,35.6,cry,35.263,36.163
feather,40.76,feather,40.386,42.247
world ,45.93,world,45.349,46.49
special,51.13,special,50.644,52.064
special,56.36,special,55.927,57.868
weirdo,66.79,weirdo,66.553,68.714
here ,72.02,,,
belong ,77.25,belong,76.619,77.519
hurts ,82.48,hurts,82.167,83.428
control ,87.68,control,86.989,87.949
body,92.92,body,92.591,94.792
soul ,98.16,soul,97.793,99.593
notice,103.41,notice,103.075,105.155
around ,108.71,around,108.276,109.097
special,113.93,special,113.515,115.156
special,119.18,special,118.719,120.7
weirdo,130.36,weirdo,129.347,131.929
here ,135.0,here?,134.871,136.473
belong ,140.29,belong,139.675,140.496
She,145.43,,,
door ,150.64,,,
She,155.84,,,
run,161.09,,,
run,176.27,Run,176.043,181.865
happy,186.71,happy,186.286,187.307
want,191.86,want,191.548,192.088
special,197.02,special,196.59,197.79
special,202.09,special,201.631,202.772
weirdo,212.51,weirdo,211.702,214.104
here ,217.76,here?,217.527,218.368
belong ,222.94,belong,222.331,223.192
belong ,228.21,belong,227.615,228.636
