lyric_word,time,ref_word,start,end
 see,28.23,See,27.92,28.56
stone,29.23,stone,28.8,29.5
eyes ,31.41,eyes.,31.04,32.12
thorn,33.59,,,
side ,35.77,side.,35.28,36.38
wait ,37.95,wait,37.74,38.8
you ,40.12,you.,39.72,40.46
sleight,45.7,Sleight,45.73,46.35
hand ,46.66,hand,46.55,47.07
fate ,48.83,fate.,48.41,49.47
nails ,51.01,nails,50.81,51.39
wait,53.19,wait.,52.71,53.75
wait ,55.37,wait,55.21,56.37
without  ,57.55,without,56.37,57.65
 with,60.81,With,60.61,61.15
without  ,61.91,without,61.43,62.01
 with,65.26,With,65.08,65.48
without,66.26,without,65.9,67.38
 through,71.76,Through,71.92,72.48
 storm,72.8,storm,72.5,73.2
shore ,74.97,shore.,74.6,75.18
all ,77.15,"all,",76.84,77.84
more ,79.33,more.,79.54,79.56
waiting,81.51,waiting,81.22,83.0
for ,83.68,for,83.0,83.88
 with,86.98,,,
without  ,88.05,,,
 with,91.29,,,
without,92.4,,,
live,96.76,,,
 with,100.13,,,
without,101.11,,,
give,114.15,,,
away ,116.33,,,
give,118.49,give,118.17,119.21
away ,120.67,away.,120.17,120.59
give ,122.85,give,122.49,122.96
give ,125.04,,,
give,127.21,,,
away ,129.4,away.,128.81,129.35
bruised ,138.11,,,
with ,140.28,,,
win ,142.46,,,
nothing,144.63,,,
lose ,146.83,,,
give,148.99,,,
away ,151.18,,,
give,153.36,,,
away ,155.53,,,
give ,157.7,,,
give ,159.89,,,
give,162.06,,,
away ,164.24,,,
without ,166.43,without,166.27,166.45
 with,169.68,,,
without,170.78,,,
live ,175.13,,,
 with,178.48,,,
without,179.49,,,
 with,200.25,,,
without,201.27,Without,201.57,202.48
 with,204.55,,,
without,205.62,,,
live ,209.99,,,
 with,213.31,,,
without,214.34,,,
