lyric_word,time,ref_word,start,end
 see,28.23,See,28.363,28.603
stone,29.23,stone,28.844,29.604
eyes ,31.41,eyes,31.666,32.047
thorn,33.59,thorn,33.288,33.968
side ,35.77,side,35.45,36.411
wait ,37.95,wait,37.692,38.733
you ,40.12,you,39.894,40.074
sleight,45.7,Sleight,45.717,46.198
hand ,46.66,hand,46.398,47.039
fate ,48.83,fate,48.501,49.122
nails ,51.01,nails,50.745,51.386
wait,53.19,wait,52.848,53.669
wait ,55.37,wait,55.111,56.253
without  ,57.55,without,56.934,57.695
 with,60.81,,,
without  ,61.91,without,61.429,62.17
 with,65.26,,,
without,66.26,without,65.934,67.596
 through,71.76,Through,71.87,72.231
 storm,72.8,"storm,",72.431,73.172
shore ,74.97,shore.,74.635,75.456
all ,77.15,"all,",77.419,77.619
more ,79.33,more.,79.102,80.003
waiting,81.51,waiting,81.285,83.208
for ,83.68,for,83.388,83.849
 with,86.98,With,86.911,87.211
without  ,88.05,without,87.572,88.253
 with,91.29,With,90.999,91.62
without,92.4,without,92.161,93.263
live,96.76,live,96.53,96.87
 with,100.13,With,99.969,100.37
without,101.11,without,100.791,102.315
give,114.15,give,114.184,114.906
away ,116.33,away,115.829,117.333
give,118.49,give,118.275,119.217
away ,120.67,away,120.24,120.982
give ,122.85,"give,",122.545,123.486
give ,125.04,"give,",124.828,125.769
give,127.21,give,127.191,127.972
away ,129.4,away,128.833,131.076
bruised ,138.11,bruise,137.764,138.264
with ,140.28,with,139.985,140.486
win ,142.46,win,142.947,143.868
nothing,144.63,nothing,144.609,145.289
lose ,146.83,lose,146.61,147.491
give,148.99,give,148.952,149.734
away ,151.18,away,150.795,152.157
give,153.36,give,153.099,154.06
away ,155.53,away,155.202,156.524
give ,157.7,"give,",157.446,158.567
give ,159.89,give,159.629,160.29
give,162.06,,,
away ,164.24,,,
without ,166.43,without,165.894,166.575
 with,169.68,With,169.377,170.078
without,170.78,without,170.538,171.519
live ,175.13,live,174.861,177.402
 with,178.48,without,178.423,179.023
without,179.49,without,178.423,179.023
 with,200.25,,,
without,201.27,,,
 with,204.55,With,204.502,204.943
without,205.62,without,205.363,206.445
live ,209.99,live,209.729,212.492
 with,213.31,With,212.512,213.093
without,214.34,without,213.874,215.616
