lyric_word,time,ref_word,start,end
 see,28.23,See,28.363,28.603
stone,29.23,stone,28.844,29.604
eyes ,31.41,eyes.,31.666,32.047
thorn,33.59,thorn,33.288,33.968
side ,35.77,side.,35.45,36.411
wait ,37.95,wait,37.692,38.733
you ,40.12,you.,39.894,40.074
sleight,45.7,Sleight,45.717,46.198
hand ,46.66,hand,46.398,47.058
fate ,48.83,fate,48.5,49.14
nails ,51.01,nails,50.742,51.402
wait,53.19,wait,52.844,53.664
wait ,55.37,wait,55.106,56.247
without  ,57.55,without,56.947,57.688
 with,60.81,With,60.771,60.971
without  ,61.91,without,61.411,62.092
 with,65.26,With,65.135,65.375
without,66.26,without,65.955,67.537
 through,71.76,Through,71.87,72.21
 storm,72.8,storm,72.451,73.231
shore ,74.97,shore,74.633,75.333
all ,77.15,all,77.395,77.615
more ,79.33,more,79.076,79.977
waiting,81.51,waiting,81.278,83.18
for ,83.68,for,83.38,83.82
 with,86.98,With,86.923,87.223
without  ,88.05,without,87.584,88.284
 with,91.29,With,90.987,91.627
without,92.4,without,92.168,93.269
live,96.76,live,96.512,96.932
 with,100.13,With,99.969,100.37
without,101.11,without,100.791,102.315
give,114.15,give,114.143,114.883
away ,116.33,away,115.904,117.306
give,118.49,give,118.267,119.207
away ,120.67,away,120.148,121.449
give ,122.85,"give,",122.55,123.571
give ,125.04,"give,",124.832,125.833
give,127.21,give,127.195,127.955
away ,129.4,away,128.856,131.098
bruised ,138.11,"bruised,",137.543,138.284
with ,140.28,with,139.984,140.504
win ,142.46,win,142.145,143.865
nothing,144.63,nothing,144.605,145.286
lose ,146.83,lose.,146.606,147.666
give,148.99,give,148.967,149.727
away ,151.18,away.,150.747,151.888
give,153.36,give,153.108,154.048
away ,155.53,away.,155.208,156.389
give ,157.7,"give,",157.449,158.549
give ,159.89,give.,159.63,160.31
give,162.06,give,162.031,162.831
away ,164.24,away,163.672,165.153
without ,166.43,without,165.893,166.574
 with,169.68,With,169.695,170.176
without,170.78,without,170.536,171.496
live ,175.13,live,174.778,177.46
 with,178.48,With,178.42,178.821
without,179.49,without,179.201,180.762
 with,200.25,,,
without,201.27,,,
 with,204.55,With,204.502,204.842
without,205.62,without,205.363,206.443
live ,209.99,live,209.725,212.487
 with,213.31,With,212.507,213.107
without,214.34,without,214.088,215.589
