25 years and my life is still trying to get up that great big healer of hope for a destination.,29.88,40.23
I realized quickly when I knew I should that the world was made up of this brotherhood of man,43.7,51.3
for whatever that means.,52.88,54.86
In Sui Christ sometimes when I'm lying in bed just to get it all out what's in my head,57.61,64.73
"and I, I didn't feel any, a little peculiar.",64.83,69.36
In Sui wake in the morning and I step outside and I take a deep breath and I get real high,71.89,79.13
and I scream for the top of my lungs what?,79.19,82.29
"In I said hey, hey, hey, hey, hey, I said hey.",85.6,94.17
"In I said hey, hey, hey, hey, hey, I said hey.",99.74,108.36
In Sui Christ sometimes when I'm lying in bed just to get it all out what's in my head,171.77,178.73
and I scream for the top of my lungs what?,182.93,184.31
In Sui wake in the morning and I step outside and I take a deep breath and I get real high,187.55,192.9
and I scream for the top of my lungs what?,192.94,196.06
"In I said hey, hey, hey, hey, I said hey.",199.33,207.97
"In I said hey, hey, hey, hey, I said hey.",213.46,222.12
What's going on?,223.83,225.13
"In I said hey, hey, hey, hey, I said hey.",227.59,243.33
25 years and my life is still done to get up that great big healer of hope for a destination.,272.72,285.34
