25,29.88,30.34
years,30.34,30.82
and,30.82,31.16
my,31.16,31.34
life,31.34,31.56
is,31.56,31.88
still,31.88,32.36
trying,32.36,33.44
to,33.44,33.78
get,33.78,34.02
up,34.02,34.16
that,34.16,34.62
great,34.62,35.14
big,35.14,35.5
healer,35.5,36.34
of,36.34,36.58
hope,36.58,37.0
for,38.54,39.25
a,39.25,39.47
destination.,39.47,40.23
I,43.7,43.88
realized,43.88,44.28
quickly,44.28,45.06
when,45.06,45.54
I,45.54,45.72
knew,45.72,45.96
I,45.96,46.26
should,46.26,46.68
that,46.68,47.08
the,47.08,47.3
world,47.3,47.66
was,47.66,48.06
made,48.06,48.42
up,48.42,48.68
of,48.68,48.88
this,48.88,49.18
brotherhood,49.18,50.28
of,50.28,50.76
man,50.76,51.3
for,52.88,53.54
whatever,53.54,54.0
that,54.0,54.44
means.,54.44,54.86
In,57.61,57.81
Sui,57.81,58.21
Christ,58.21,58.57
sometimes,58.57,59.45
when,59.45,59.85
I'm,59.85,60.11
lying,60.11,60.41
in,60.41,60.73
bed,60.73,61.07
just,61.07,61.41
to,61.41,61.69
get,61.69,62.07
it,62.07,62.35
all,62.35,62.61
out,62.61,62.89
what's,62.89,63.59
in,63.59,63.79
my,63.79,64.25
head,64.25,64.73
and,64.83,65.07
"I,",65.07,65.37
I,65.82,66.26
didn't,66.26,66.48
feel,66.48,66.64
"any,",66.64,66.94
a,67.66,68.12
little,68.12,68.46
peculiar.,68.46,69.36
In,71.89,72.11
Sui,72.11,72.59
wake,72.59,72.85
in,72.85,73.29
the,73.29,73.47
morning,73.47,73.85
and,73.85,74.23
I,74.23,74.37
step,74.37,74.61
outside,74.61,75.27
and,75.27,75.79
I,75.79,76.07
take,76.07,76.43
a,76.43,76.67
deep,76.67,76.91
breath,76.91,77.25
and,77.25,77.63
I,77.63,77.79
get,77.79,78.11
real,78.11,78.53
high,78.83,79.13
and,79.19,79.41
I,79.41,79.71
scream,79.71,80.39
for,80.39,80.61
the,80.61,80.71
top,80.71,80.91
of,80.91,81.13
my,81.13,81.35
lungs,81.35,81.87
what?,81.87,82.29
In,85.6,85.84
I,85.84,86.1
said,86.1,86.48
"hey,",86.48,87.52
"hey,",88.3,89.0
"hey,",89.92,89.98
"hey,",90.18,90.68
"hey,",91.18,91.2
I,93.29,93.49
said,93.49,93.73
hey.,93.73,94.17
In,99.74,100.06
I,100.06,100.32
said,100.32,100.74
"hey,",100.74,101.6
"hey,",104.41,105.09
"hey,",106.44,106.46
"hey,",106.46,106.7
"hey,",106.7,106.88
I,107.42,107.64
said,107.64,107.92
hey.,107.92,108.36
In,171.77,171.91
Sui,171.91,172.33
Christ,172.33,172.67
sometimes,172.67,173.47
when,173.47,173.95
I'm,173.95,174.23
lying,174.23,174.51
in,174.51,174.79
bed,174.79,175.15
just,175.15,175.49
to,175.49,175.81
get,175.81,176.17
it,176.17,176.43
all,176.43,176.69
out,176.69,176.95
what's,176.95,177.61
in,177.61,177.87
my,177.87,178.37
head,178.37,178.73
and,182.93,182.95
I,182.95,182.97
scream,182.97,182.99
for,182.99,183.21
the,183.21,183.23
top,183.23,183.25
of,183.25,183.27
my,183.27,183.45
lungs,183.45,183.89
what?,183.89,184.31
In,187.55,187.57
Sui,187.57,187.59
wake,187.59,187.61
in,187.61,187.63
the,187.63,187.65
morning,187.65,187.75
and,187.75,188.13
I,188.13,188.25
step,188.25,188.49
outside,188.49,189.15
and,189.15,189.67
I,189.67,189.95
take,189.95,190.29
a,190.29,190.51
deep,190.51,190.73
breath,190.73,191.09
and,191.09,191.47
I,191.47,191.61
get,191.61,191.91
real,191.91,192.35
high,192.59,192.9
and,192.94,193.22
I,193.22,193.48
scream,193.48,194.22
for,194.22,194.38
the,194.38,194.5
top,194.5,194.72
of,194.72,194.94
my,194.94,195.14
lungs,195.14,195.64
what?,195.64,196.06
In,199.33,199.67
I,199.67,199.91
said,199.91,200.33
"hey,",200.33,201.09
"hey,",202.41,202.83
"hey,",202.99,203.07
"hey,",207.09,207.11
I,207.13,207.21
said,207.21,207.51
hey.,207.51,207.97
In,213.46,213.76
I,213.76,214.02
said,214.02,214.44
"hey,",214.44,215.06
"hey,",221.13,221.44
"hey,",221.44,221.46
"hey,",221.46,221.48
I,221.48,221.5
said,221.5,221.56
hey.,221.56,222.12
What's,223.83,224.45
going,224.45,224.79
on?,224.79,225.13
In,227.59,227.89
I,227.89,228.11
said,228.11,228.61
"hey,",228.61,229.27
"hey,",229.49,229.55
"hey,",235.28,235.95
"hey,",241.39,241.79
I,241.79,242.19
said,242.19,242.57
hey.,242.57,243.33
25,272.72,273.14
years,273.14,273.74
and,273.74,274.14
my,274.14,274.36
life,274.36,274.66
is,274.66,275.04
still,275.04,275.54
done,275.54,276.82
to,276.82,277.22
get,277.22,277.5
up,277.5,277.66
that,277.66,278.16
great,278.16,278.82
big,278.82,279.24
healer,279.24,280.22
of,280.22,280.52
hope,280.52,280.96
for,282.93,283.7
a,283.7,283.9
destination.,283.9,285.34
