start	end	text
29880	30340	25
30340	30820	years
30820	31160	and
31160	31340	my
31340	31560	life
31560	31880	is
31880	32360	still
32360	33440	trying
33440	33780	to
33780	34020	get
34020	34160	up
34160	34620	that
34620	35140	great
35140	35500	big
35500	36340	healer
36340	36580	of
36580	37000	hope
38540	39250	for
39250	39470	a
39470	40230	destination.
43700	43880	I
43880	44280	realized
44280	45060	quickly
45060	45540	when
45540	45720	I
45720	45960	knew
45960	46260	I
46260	46680	should
46680	47080	that
47080	47300	the
47300	47660	world
47660	48060	was
48060	48420	made
48420	48680	up
48680	48880	of
48880	49180	this
49180	50280	brotherhood
50280	50760	of
50760	51300	man
52880	53540	for
53540	54000	whatever
54000	54440	that
54440	54860	means.
57610	57810	In
57810	58210	Sui
58210	58570	Christ
58570	59450	sometimes
59450	59850	when
59850	60110	I'm
60110	60410	lying
60410	60730	in
60730	61070	bed
61070	61410	just
61410	61690	to
61690	62070	get
62070	62350	it
62350	62610	all
62610	62890	out
62890	63590	what's
63590	63790	in
63790	64250	my
64250	64730	head
64830	65070	and
65070	65370	I,
65820	66260	I
66260	66480	didn't
66480	66640	feel
66640	66940	any,
67660	68120	a
68120	68460	little
68460	69360	peculiar.
71890	72110	In
72110	72590	Sui
72590	72850	wake
72850	73290	in
73290	73470	the
73470	73850	morning
73850	74230	and
74230	74370	I
74370	74610	step
74610	75270	outside
75270	75790	and
75790	76070	I
76070	76430	take
76430	76670	a
76670	76910	deep
76910	77250	breath
77250	77630	and
77630	77790	I
77790	78110	get
78110	78530	real
78830	79130	high
79190	79410	and
79410	79710	I
79710	80390	scream
80390	80610	for
80610	80710	the
80710	80910	top
80910	81130	of
81130	81350	my
81350	81870	lungs
81870	82290	what?
85600	85840	In
85840	86100	I
86100	86480	said
86480	87520	hey,
88300	89000	hey,
89920	89980	hey,
90180	90680	hey,
91180	91200	hey,
93290	93490	I
93490	93730	said
93730	94170	hey.
99740	100060	In
100060	100320	I
100320	100740	said
100740	101600	hey,
104410	105090	hey,
106440	106460	hey,
106460	106700	hey,
106700	106880	hey,
107420	107640	I
107640	107920	said
107920	108360	hey.
171770	171910	In
171910	172330	Sui
172330	172670	Christ
172670	173470	sometimes
173470	173950	when
173950	174230	I'm
174230	174510	lying
174510	174790	in
174790	175150	bed
175150	175490	just
175490	175810	to
175810	176170	get
176170	176430	it
176430	176690	all
176690	176950	out
176950	177610	what's
177610	177870	in
177870	178370	my
178370	178730	head
182930	182950	and
182950	182970	I
182970	182990	scream
182990	183210	for
183210	183230	the
183230	183250	top
183250	183270	of
183270	183450	my
183450	183890	lungs
183890	184310	what?
187550	187570	In
187570	187590	Sui
187590	187610	wake
187610	187630	in
187630	187650	the
187650	187750	morning
187750	188130	and
188130	188250	I
188250	188490	step
188490	189150	outside
189150	189670	and
189670	189950	I
189950	190290	take
190290	190510	a
190510	190730	deep
190730	191090	breath
191090	191470	and
191470	191610	I
191610	191910	get
191910	192350	real
192590	192900	high
192940	193220	and
193220	193480	I
193480	194220	scream
194220	194380	for
194380	194500	the
194500	194720	top
194720	194940	of
194940	195140	my
195140	195640	lungs
195640	196060	what?
199330	199670	In
199670	199910	I
199910	200330	said
200330	201090	hey,
202410	202830	hey,
202990	203070	hey,
207090	207110	hey,
207130	207210	I
207210	207510	said
207510	207970	hey.
213460	213760	In
213760	214020	I
214020	214440	said
214440	215060	hey,
221130	221440	hey,
221440	221460	hey,
221460	221480	hey,
221480	221500	I
221500	221560	said
221560	222120	hey.
223830	224450	What's
224450	224790	going
224790	225130	on?
227590	227890	In
227890	228110	I
228110	228610	said
228610	229270	hey,
229490	229550	hey,
235280	235950	hey,
241390	241790	hey,
241790	242190	I
242190	242570	said
242570	243330	hey.
272720	273140	25
273140	273740	years
273740	274140	and
274140	274360	my
274360	274660	life
274660	275040	is
275040	275540	still
275540	276820	done
276820	277220	to
277220	277500	get
277500	277660	up
277660	278160	that
278160	278820	great
278820	279240	big
279240	280220	healer
280220	280520	of
280520	280960	hope
282930	283700	for
283700	283900	a
283900	285340	destination.
