Halboy,7.11,7.55
Carter?,7.55,7.95
Time,9.07,9.71
to,9.71,9.89
strike,9.89,10.15
a,10.15,10.35
match,10.35,10.61
and,10.61,10.83
ride,10.83,11.31
up,11.31,11.55
this,11.55,11.85
Duke,11.85,12.13
George.,12.13,12.57
I,37.3,37.98
am,37.98,38.0
the,38.0,38.02
"one,",38.02,38.04
I,38.34,38.7
am,38.7,39.06
the,39.06,39.4
one,39.4,39.72
"now,",39.72,40.02
just,40.46,40.86
tell,40.86,41.24
me,41.24,41.56
how,41.56,41.92
to.,41.92,42.24
Boy,52.96,53.2
she,53.2,53.42
got,53.42,53.68
that,53.68,53.94
"water,",53.94,54.48
think,54.96,55.12
man,55.12,55.36
got,55.36,55.6
that,55.6,55.84
water.,55.84,56.4
Don't,56.66,56.86
act,56.86,57.08
like,57.08,57.3
you,57.3,57.54
don't,57.54,57.84
know.,57.84,58.14
Giddy,58.76,59.04
"up,",59.04,59.2
giddy,59.26,59.54
up.,59.54,59.72
Don't,60.84,61.14
pay,61.14,61.3
me,61.3,61.48
in,61.48,61.64
gold.,61.64,62.0
Giddy,62.52,62.84
"up,",62.84,62.98
giddy,63.04,63.32
up.,63.32,63.62
Back,63.96,64.12
"outside,",64.12,64.48
I'm,64.94,65.16
on,65.16,65.3
the,65.3,65.46
road.,65.46,65.72
Giddy,65.72,66.66
"up,",66.66,66.8
giddy,66.84,67.14
up.,67.14,67.32
When,67.68,67.92
the,67.92,68.2
sun,68.2,68.54
goes,68.54,69.04
down.,69.04,69.7
It's,69.98,70.14
night,70.14,70.4
of,70.4,70.62
night,70.62,70.84
of,70.84,71.08
pain.,71.08,71.38
You,71.62,71.76
can,71.76,72.02
hear,72.02,72.28
her,72.28,72.52
body,72.52,72.9
howl.,72.9,73.55
It's,73.55,73.86
night,73.86,74.58
of,74.58,74.9
pain.,74.9,75.16
You,75.54,75.66
hear,75.66,75.76
her,75.76,75.9
eye,75.9,76.2
in,76.2,76.38
me,76.38,76.58
like,76.58,76.8
howl.,76.8,77.42
I'm,77.42,77.86
on,77.86,78.04
the,78.04,78.18
side,78.18,78.46
of,78.46,78.7
a,78.7,78.9
patch.,78.9,78.98
I'll,79.04,79.18
drive,79.18,79.2
your,79.2,79.22
man,79.22,79.44
when,79.44,79.62
a,79.62,79.72
hangman,79.72,80.12
coming,80.12,80.46
down.,80.46,81.06
She's,81.12,82.4
a,82.4,82.54
tyrant.,82.54,83.26
Every,83.56,83.88
time,83.88,84.22
I,84.22,84.52
ride,84.52,84.82
"it,",84.82,85.2
every,85.44,85.76
time,85.76,86.12
I,86.12,86.4
ride,86.4,86.82
it.,86.82,87.16
Make,87.24,87.54
it,87.54,87.78
look,87.78,87.98
so,87.98,88.2
good.,88.2,88.84
Try,89.04,89.4
to,89.4,89.64
justify,89.64,90.32
it.,90.32,90.94
Boy,91.16,91.36
you,91.36,91.56
know,91.56,91.78
they're,91.78,92.08
looking,92.08,92.38
for,92.38,92.74
me.,92.74,92.98
How,93.04,93.22
we,93.22,93.44
gonna,93.44,93.82
hide,93.82,94.36
it?,94.36,94.8
Try,95.04,95.18
to,95.18,95.36
look,95.36,95.58
hydraulic.,95.58,96.22
I,97.04,97.12
am,97.12,97.26
such,97.26,97.5
a,97.5,97.74
tyrant.,97.74,98.5
Every,99.04,99.16
time,99.16,99.44
I,99.44,99.74
ride,99.74,100.02
"it,",100.02,100.42
every,100.7,101.0
time,101.0,101.36
I,101.36,101.64
ride,101.64,101.98
it.,101.98,102.36
I,102.64,102.78
don't,102.78,103.02
like,103.02,103.22
to,103.22,103.42
sit,103.42,103.72
up,103.72,104.02
in,104.02,104.24
the,104.24,104.4
saddle.,104.4,104.68
Boy,104.9,105.16
I,105.16,105.4
got,105.4,105.76
it.,105.76,106.2
Just,106.42,106.6
"relax,",106.6,106.98
I,107.12,107.28
got,107.28,107.6
this.,107.6,108.1
I,108.32,108.5
got,108.5,108.7
that,108.7,109.0
exotic.,109.0,109.72
It's,110.22,110.48
so,110.48,110.6
so,110.6,110.9
hypnotic.,110.9,111.98
I,112.12,112.28
am,112.28,112.48
such,112.48,112.76
a,112.76,112.98
tyrant.,112.98,113.54
So,114.44,114.8
you,114.8,114.94
with,114.94,115.1
me,115.1,115.26
or,115.26,115.44
not?,115.44,115.66
Throw,116.3,116.54
it,116.54,116.68
back.,116.68,116.88
Shoot,118.48,118.92
up,118.92,120.1
the,120.1,121.02
bar.,121.02,121.04
To,121.08,121.34
tell,121.34,121.46
a,121.46,122.44
lie,122.44,122.58
we,122.58,123.0
don't,123.0,123.02
remember.,123.02,123.04
And,123.04,123.66
after,123.66,124.18
"that,",124.18,124.74
stop.,124.86,125.01
Giddy,125.01,127.02
up,127.02,127.04
to,127.04,127.06
me.,127.06,127.08
At,128.76,128.98
a,128.98,129.0
scene,129.0,129.02
of,129.02,129.04
"5'9"".",129.04,129.06
To,129.76,130.1
confine,130.1,130.8
what,130.8,131.02
a,131.02,131.04
tragedy.,131.04,131.06
Trying,131.06,131.08
to,131.08,131.1
get,131.1,131.12
away.,131.12,131.4
Riding,132.04,132.06
you,132.06,132.12
while,132.12,132.24
we,132.24,132.36
trying,132.36,132.56
to,132.56,132.7
get,132.7,132.84
your,132.84,133.04
way.,133.04,133.32
That's,134.04,134.06
so,134.06,134.46
sexy,134.46,134.48
and,134.48,134.7
I,134.7,134.82
know,134.82,135.1
it.,135.1,135.44
And,136.04,136.06
I'm,136.06,136.18
afraid,136.18,136.58
to,136.58,136.8
show,136.8,137.0
it.,137.0,137.28
Baby,138.04,138.06
I'm,138.06,138.08
go-de-baby,138.08,138.46
I'm,138.46,138.74
go-ing.,138.74,139.18
"Hey,",140.04,140.06
"hey,",140.18,140.2
"hey,",140.28,140.36
