"Hello there, the angel from the nightmare, the shadow in the background of the morgue,",13.62,22.34
the unsuspected victim of darkness in the valley.,23.1,29.05
"We can live like Jack and Sally if we want, where you can always find me.",29.55,36.07
"And we'll have Halloween on Christmas, and in the night we'll wish this never ends.",37.23,43.61
We'll wish this never ends.,44.75,46.37
"I miss you, I miss you.",54.9,57.12
Where are you?,66.21,67.25
And I'm so sorry.,67.31,69.71
"I cannot sleep, I cannot dream tonight.",71.54,74.8
I need somebody and always.,75.6,77.82
"This sick, strange darkness comes creeping on so hot in every time, and as I said I can't",79.21,88.53
"The webs from all the spiders, catching things and eating their insides like indecision to call you.",90.4,99.28
"And hear your voice of treason, will you come home and stop this pain tonight?",101.03,106.59
Stop this pain tonight.,107.71,109.93
"Don't waste your time on me, you're already the voice inside my head.",119.53,127.97
"Don't waste your time on me, you're already the voice inside my head.",130.13,138.41
"And don't waste your time on me, you're already the voice inside my head.",164.73,172.85
"And don't waste your time on me, you're already the voice inside my head.",174.69,182.95
"Don't waste your time on me, you're already the voice inside my head.",184.85,192.87
"Don't waste your time on me, you're already the voice inside my head.",195.0,203.08
"I miss you, I miss you, I miss you, I miss you.",215.44,237.37
