Mama,30.19,30.45
take,30.45,30.77
this,30.77,31.09
badge,31.09,31.63
off,31.63,31.99
of,31.99,32.25
me,32.25,32.63
It's,43.77,43.95
getting,43.95,44.25
"dark,",44.25,44.83
too,45.19,45.43
dark,45.43,45.85
to,45.85,46.13
see,46.13,46.65
I,50.67,50.84
feel,50.84,51.06
I'm,51.06,51.46
knocking,51.46,51.98
on,51.98,52.4
Heaven's,52.4,53.34
door,53.34,53.58
Knock,57.57,58.01
knock,58.01,58.41
knock,58.41,58.85
knock,58.85,59.06
knock,64.0,64.16
Mama,85.33,85.59
put,85.59,85.91
my,85.91,86.17
guns,86.17,86.81
in,86.81,87.23
the,87.23,87.37
ground,87.37,87.85
I,92.12,92.32
can't,92.32,92.72
shoot,92.72,93.04
them,93.04,93.48
anymore,93.48,94.72
That,98.68,98.9
long,98.9,99.34
black,99.34,99.82
cloud,99.82,100.4
is,100.4,100.7
coming,100.7,101.1
down,101.1,101.72
I,105.55,105.69
feel,105.69,106.01
I'm,106.01,106.39
knocking,106.39,106.91
on,106.91,107.33
Heaven's,107.33,108.25
door,108.25,108.51
Knock,112.41,112.87
knock,112.87,113.27
knock,113.27,113.67
knock,113.67,114.05
Knock,132.93,133.37
knock,133.37,133.79
knock,133.79,134.19
knock,134.19,134.53
