start	end	text
30190	30450	Mama
30450	30770	take
30770	31090	this
31090	31630	badge
31630	31990	off
31990	32250	of
32250	32630	me
43770	43950	It's
43950	44250	getting
44250	44830	dark,
45190	45430	too
45430	45850	dark
45850	46130	to
46130	46650	see
50670	50840	I
50840	51060	feel
51060	51460	I'm
51460	51980	knocking
51980	52400	on
52400	53340	Heaven's
53340	53580	door
57570	58010	Knock
58010	58410	knock
58410	58850	knock
58850	59060	knock
64000	64160	knock
85330	85590	Mama
85590	85910	put
85910	86170	my
86170	86810	guns
86810	87230	in
87230	87370	the
87370	87850	ground
92120	92320	I
92320	92720	can't
92720	93040	shoot
93040	93480	them
93480	94720	anymore
98680	98900	That
98900	99340	long
99340	99820	black
99820	100400	cloud
100400	100700	is
100700	101100	coming
101100	101720	down
105550	105690	I
105690	106010	feel
106010	106390	I'm
106390	106910	knocking
106910	107330	on
107330	108250	Heaven's
108250	108510	door
112410	112870	Knock
112870	113270	knock
113270	113670	knock
113670	114050	knock
132930	133370	Knock
133370	133790	knock
133790	134190	knock
134190	134530	knock
