Life will come our way,31.99,34.67
It has only just begun,35.31,37.77
The world will die a lot,38.75,41.01
The fray will fall below,41.84,43.9
Time will take our place,44.58,47.12
We will turn it back to one,47.64,50.28
The code for the code,51.18,53.48
The long and long road,54.24,56.46
Look for the light that leads me,57.56,61.6
Tide of a temple,63.18,69.77
A world down,70.15,71.73
Temple of a world down,72.37,75.23
Of salient,77.7,79.68
Drive the crowd away,87.73,90.07
We will fall from last to none,90.99,93.69
The dark will fall with a tongue,94.51,96.87
The world will carry on,97.59,99.97
Look for the light that leads me,100.93,105.01
Tide of feeling lost,105.39,108.93
Temple of a world down,112.78,115.2
Temple of a world down,115.8,118.36
"Of stint, red, tidied",119.02,122.71
Temple of a world down,125.22,127.56
Temple of a world down,128.16,131.02
Of salient,133.45,135.37
Tide of a world down,156.05,161.37
Temple of a world down,162.25,164.77
"Tide of wasted red, tidied",165.41,169.19
Temple of a world down,171.42,174.0
Temple of a world down,174.6,176.69
The value of sunlight,176.69,179.16
"Will fail, will fail",182.71,199.19
