Life,31.99,32.43
will,32.43,32.85
come,32.85,33.41
our,33.41,33.99
way,33.99,34.67
It,35.31,35.51
has,35.51,35.77
only,35.77,36.51
just,36.51,37.05
begun,37.05,37.77
The,38.75,38.93
world,38.93,39.41
will,39.41,39.67
die,39.67,40.27
a,40.27,40.57
lot,40.57,41.01
The,41.84,42.02
fray,42.02,42.56
will,42.56,42.76
fall,42.76,43.2
below,43.2,43.9
Time,44.58,44.84
will,44.84,45.24
take,45.24,45.74
our,45.74,46.26
place,46.26,47.12
We,47.64,47.92
will,47.92,48.18
turn,48.18,48.7
it,48.7,49.04
back,49.04,49.44
to,49.44,49.86
one,49.86,50.28
The,51.18,51.48
code,51.48,51.82
for,51.82,52.34
the,52.34,52.86
code,52.86,53.48
The,54.24,54.46
long,54.46,55.0
and,55.0,55.3
long,55.3,55.68
road,55.68,56.46
Look,57.56,57.98
for,57.98,58.4
the,58.4,58.72
light,58.72,59.3
that,59.3,60.04
leads,60.04,60.8
me,60.8,61.6
Tide,63.18,63.62
of,63.62,63.9
a,68.91,69.07
temple,69.07,69.77
A,70.15,70.65
world,70.65,71.03
down,71.03,71.73
Temple,72.37,72.91
of,72.91,73.69
a,73.69,73.71
world,73.71,74.19
down,74.19,75.23
Of,77.7,77.86
salient,77.86,79.68
Drive,87.73,88.15
the,88.15,88.55
crowd,88.55,89.15
away,89.15,90.07
We,90.99,91.21
will,91.21,91.47
fall,91.47,91.93
from,91.93,92.39
last,92.39,92.81
to,92.81,93.19
none,93.19,93.69
The,94.51,94.69
dark,94.69,95.19
will,95.19,95.53
fall,95.53,95.89
with,95.89,96.17
a,96.17,96.27
tongue,96.27,96.87
The,97.59,97.81
world,97.81,98.31
will,98.31,98.97
carry,98.97,99.27
on,99.27,99.97
Look,100.93,101.31
for,101.31,101.81
the,101.81,102.07
light,102.07,102.65
that,102.65,103.35
leads,103.35,104.21
me,104.21,105.01
Tide,105.39,106.91
of,106.91,107.19
feeling,107.19,107.97
lost,107.97,108.93
Temple,112.78,113.12
of,113.12,114.06
a,114.06,114.5
world,114.5,114.52
down,114.52,115.2
Temple,115.8,116.24
of,116.24,117.24
a,117.24,117.64
world,117.64,117.66
down,117.66,118.36
Of,119.02,119.34
"stint,",120.08,120.69
"red,",120.79,121.37
tidied,121.59,122.71
Temple,125.22,125.52
of,125.52,126.34
a,126.34,126.88
world,126.88,126.9
down,126.9,127.56
Temple,128.16,128.64
of,128.64,129.52
a,129.52,129.98
world,129.98,130.0
down,130.0,131.02
Of,133.45,133.57
salient,133.57,135.37
Tide,156.05,156.59
of,156.59,156.83
a,158.7,158.81
world,158.81,160.31
down,160.31,161.37
Temple,162.25,162.69
of,162.69,163.61
a,163.61,164.05
world,164.05,164.07
down,164.07,164.77
Tide,165.41,165.77
of,165.77,165.99
wasted,165.99,166.73
"red,",166.73,167.75
tidied,168.03,169.19
Temple,171.42,172.0
of,172.0,172.88
a,172.88,173.34
world,173.34,173.44
down,173.44,174.0
Temple,174.6,175.08
of,175.08,175.96
a,175.96,176.46
world,176.46,176.5
down,176.5,176.69
The,176.69,177.1
value,177.1,177.72
of,177.72,177.96
sunlight,177.96,179.16
Will,182.71,182.89
"fail,",182.89,183.75
will,184.11,184.59
fail,198.21,199.19
