start	end	text
31990	32430	Life
32430	32850	will
32850	33410	come
33410	33990	our
33990	34670	way
35310	35510	It
35510	35770	has
35770	36510	only
36510	37050	just
37050	37770	begun
38750	38930	The
38930	39410	world
39410	39670	will
39670	40270	die
40270	40570	a
40570	41010	lot
41840	42020	The
42020	42560	fray
42560	42760	will
42760	43200	fall
43200	43900	below
44580	44840	Time
44840	45240	will
45240	45740	take
45740	46260	our
46260	47120	place
47640	47920	We
47920	48180	will
48180	48700	turn
48700	49040	it
49040	49440	back
49440	49860	to
49860	50280	one
51180	51480	The
51480	51820	code
51820	52340	for
52340	52860	the
52860	53480	code
54240	54460	The
54460	55000	long
55000	55300	and
55300	55680	long
55680	56460	road
57560	57980	Look
57980	58400	for
58400	58720	the
58720	59300	light
59300	60040	that
60040	60800	leads
60800	61600	me
63180	63620	Tide
63620	63900	of
68910	69070	a
69070	69770	temple
70150	70650	A
70650	71030	world
71030	71730	down
72370	72910	Temple
72910	73690	of
73690	73710	a
73710	74190	world
74190	75230	down
77700	77860	Of
77860	79680	salient
87730	88150	Drive
88150	88550	the
88550	89150	crowd
89150	90070	away
90990	91210	We
91210	91470	will
91470	91930	fall
91930	92390	from
92390	92810	last
92810	93190	to
93190	93690	none
94510	94690	The
94690	95190	dark
95190	95530	will
95530	95890	fall
95890	96170	with
96170	96270	a
96270	96870	tongue
97590	97810	The
97810	98310	world
98310	98970	will
98970	99270	carry
99270	99970	on
100930	101310	Look
101310	101810	for
101810	102070	the
102070	102650	light
102650	103350	that
103350	104210	leads
104210	105010	me
105390	106910	Tide
106910	107190	of
107190	107970	feeling
107970	108930	lost
112780	113120	Temple
113120	114060	of
114060	114500	a
114500	114520	world
114520	115200	down
115800	116240	Temple
116240	117240	of
117240	117640	a
117640	117660	world
117660	118360	down
119020	119340	Of
120080	120690	stint,
120790	121370	red,
121590	122710	tidied
125220	125520	Temple
125520	126340	of
126340	126880	a
126880	126900	world
126900	127560	down
128160	128640	Temple
128640	129520	of
129520	129980	a
129980	130000	world
130000	131020	down
133450	133570	Of
133570	135370	salient
156050	156590	Tide
156590	156830	of
158700	158810	a
158810	160310	world
160310	161370	down
162250	162690	Temple
162690	163610	of
163610	164050	a
164050	164070	world
164070	164770	down
165410	165770	Tide
165770	165990	of
165990	166730	wasted
166730	167750	red,
168030	169190	tidied
171420	172000	Temple
172000	172880	of
172880	173340	a
173340	173440	world
173440	174000	down
174600	175080	Temple
175080	175960	of
175960	176460	a
176460	176500	world
176500	176690	down
176690	177100	The
177100	177720	value
177720	177960	of
177960	179160	sunlight
182710	182890	Will
182890	183750	fail,
184110	184590	will
198210	199190	fail
