start	end	text
31990	34670	Life will come our way
35310	37770	It has only just begun
38750	41010	The world will die a lot
41840	43900	The fray will fall below
44580	47120	Time will take our place
47640	50280	We will turn it back to one
51180	53480	The code for the code
54240	56460	The long and long road
57560	61600	Look for the light that leads me
63180	69770	Tide of a temple
70150	71730	A world down
72370	75230	Temple of a world down
77700	79680	Of salient
87730	90070	Drive the crowd away
90990	93690	We will fall from last to none
94510	96870	The dark will fall with a tongue
97590	99970	The world will carry on
100930	105010	Look for the light that leads me
105390	108930	Tide of feeling lost
112780	115200	Temple of a world down
115800	118360	Temple of a world down
119020	122710	Of stint, red, tidied
125220	127560	Temple of a world down
128160	131020	Temple of a world down
133450	135370	Of salient
156050	161370	Tide of a world down
162250	164770	Temple of a world down
165410	169190	Tide of wasted red, tidied
171420	174000	Temple of a world down
174600	176690	Temple of a world down
176690	179160	The value of sunlight
182710	199190	Will fail, will fail
