I,5.08,5.24
got,5.24,5.5
my,5.5,5.68
first,5.68,5.98
real,5.98,6.42
sixth,6.42,6.9
string,6.9,7.32
Boiled,8.14,8.76
out,8.76,8.98
the,8.98,9.18
five,9.18,9.6
and,9.6,10.02
done,10.02,10.48
Played,11.56,12.1
it,12.1,12.22
till,12.22,12.42
my,12.42,12.62
fingers,12.62,13.28
bled,13.28,13.96
Was,14.82,15.04
a,15.04,15.22
summer,15.22,15.56
of,15.56,15.98
69,15.98,16.86
Me,18.46,18.78
and,18.78,19.24
some,19.24,19.56
guys,19.56,19.92
from,19.92,20.26
school,20.26,20.7
Had,21.74,21.98
a,21.98,22.16
band,22.16,22.52
and,22.52,22.84
we,22.84,23.0
tried,23.0,23.34
real,23.34,23.84
hard,23.84,24.34
Timmy,25.14,25.62
"quit,",25.62,25.9
Jody,26.16,26.86
got,26.86,27.2
married,27.2,27.72
I,28.5,28.64
should've,28.64,29.08
known,29.08,29.46
we,29.46,29.92
never,29.92,30.3
get,30.3,30.66
far,30.66,31.16
"Well,",32.74,33.08
when,33.16,33.32
I,33.32,33.48
look,33.48,33.62
back,33.62,33.94
now,33.94,34.42
The,35.56,35.76
summer,35.76,36.3
seemed,36.3,36.72
to,36.72,36.9
last,36.9,37.22
forever,37.22,38.06
And,39.36,39.7
if,39.7,40.12
I,40.12,40.44
had,40.44,40.82
the,40.82,41.0
choice,41.0,41.5
"Yeah,",42.74,43.2
those,43.48,43.78
won't,43.78,44.52
all,44.52,44.64
be,44.64,45.06
there,45.06,45.48
Those,46.22,46.56
were,46.56,47.02
the,47.02,47.24
birthdays,47.24,47.74
of,47.74,48.48
my,48.48,48.88
life,48.88,49.46
Ain't,57.07,57.39
no,57.39,57.51
use,57.51,57.83
in,57.83,58.21
complaining,58.21,58.83
When,60.11,60.45
you,60.45,60.75
got,60.75,61.01
a,61.01,61.15
job,61.15,61.55
to,61.55,61.99
do,61.99,62.37
I,63.13,63.23
spend,63.23,63.49
my,63.49,63.81
years,63.81,64.15
down,64.15,64.79
at,64.79,65.25
the,65.25,65.49
job,65.49,65.97
in,65.97,66.31
And,67.47,67.69
that's,67.69,68.03
when,68.03,68.19
I,68.19,68.49
met,68.49,68.83
"you,",68.83,69.31
yeah,69.43,69.77
Standing,70.37,70.91
on,70.91,71.39
your,71.39,71.57
mama's,71.57,72.17
porch,72.17,72.59
You,73.68,73.9
told,73.9,74.28
me,74.28,74.66
that,74.66,74.84
she,74.84,75.02
waits,75.02,75.34
for,75.34,75.8
me,75.8,76.2
All,77.44,77.86
the,77.86,78.28
"years,",78.28,78.56
days,85.45,86.13
of,86.13,86.59
my,86.59,86.99
life,86.99,87.27
Back,92.59,92.81
in,92.81,93.03
the,93.03,93.17
summer,93.17,93.53
of,93.53,93.97
69,93.97,94.83
When,101.2,101.94
it,101.94,102.3
was,102.3,102.51
my,105.72,106.2
new,106.2,106.48
time,106.48,106.93
The,130.01,130.39
times,130.39,130.77
are,130.77,131.13
changing,131.13,131.71
Look,132.57,132.81
at,132.81,133.05
everything,133.05,133.51
that's,133.51,133.95
coming,133.95,134.45
down,134.45,135.21
Times,136.07,136.65
went,136.65,136.99
up,136.99,137.29
when,137.29,137.57
you,137.57,137.69
got,137.69,137.83
old,137.83,138.11
sixth,138.11,138.51
string,138.51,138.95
So,139.45,139.71
you're,139.71,139.91
back,139.91,140.15
to,140.15,140.41
wonder,140.41,140.71
why,140.71,141.15
it,141.15,141.31
went,141.31,141.51
wrong,141.51,142.03
Standing,143.05,143.57
on,143.57,144.11
your,144.11,144.29
mama's,144.29,144.89
porch,144.89,145.35
You,146.46,146.64
told,146.64,146.96
me,146.96,147.4
that,147.4,147.64
it,147.64,147.76
was,147.76,147.86
Those,157.03,157.35
were,157.35,157.73
the,157.73,158.05
best,158.05,158.43
days,158.43,158.95
of,158.95,159.35
my,159.35,159.71
life,159.71,160.25
Back,165.49,165.59
in,165.59,165.77
the,165.77,165.89
summer,165.89,166.29
of,166.29,166.67
69,166.67,167.57
69,174.55,174.63
"Oh,",176.23,176.77
yeah,176.95,177.11
What's,204.24,204.44
that?,204.44,204.62
Nobody,206.35,206.71
I,207.23,207.43
said,207.43,207.87
who's,207.87,208.89
that?,208.89,209.13
I,209.41,209.55
said,209.55,209.85
nobody,209.85,210.35
