start	end	text
5080	5240	I
5240	5500	got
5500	5680	my
5680	5980	first
5980	6420	real
6420	6900	sixth
6900	7320	string
8140	8760	Boiled
8760	8980	out
8980	9180	the
9180	9600	five
9600	10020	and
10020	10480	done
11560	12100	Played
12100	12220	it
12220	12420	till
12420	12620	my
12620	13280	fingers
13280	13960	bled
14820	15040	Was
15040	15220	a
15220	15560	summer
15560	15980	of
15980	16860	69
18460	18780	Me
18780	19240	and
19240	19560	some
19560	19920	guys
19920	20260	from
20260	20700	school
21740	21980	Had
21980	22160	a
22160	22520	band
22520	22840	and
22840	23000	we
23000	23340	tried
23340	23840	real
23840	24340	hard
25140	25620	Timmy
25620	25900	quit,
26160	26860	Jody
26860	27200	got
27200	27720	married
28500	28640	I
28640	29080	should've
29080	29460	known
29460	29920	we
29920	30300	never
30300	30660	get
30660	31160	far
32740	33080	Well,
33160	33320	when
33320	33480	I
33480	33620	look
33620	33940	back
33940	34420	now
35560	35760	The
35760	36300	summer
36300	36720	seemed
36720	36900	to
36900	37220	last
37220	38060	forever
39360	39700	And
39700	40120	if
40120	40440	I
40440	40820	had
40820	41000	the
41000	41500	choice
42740	43200	Yeah,
43480	43780	those
43780	44520	won't
44520	44640	all
44640	45060	be
45060	45480	there
46220	46560	Those
46560	47020	were
47020	47240	the
47240	47740	birthdays
47740	48480	of
48480	48880	my
48880	49460	life
57070	57390	Ain't
57390	57510	no
57510	57830	use
57830	58210	in
58210	58830	complaining
60110	60450	When
60450	60750	you
60750	61010	got
61010	61150	a
61150	61550	job
61550	61990	to
61990	62370	do
63130	63230	I
63230	63490	spend
63490	63810	my
63810	64150	years
64150	64790	down
64790	65250	at
65250	65490	the
65490	65970	job
65970	66310	in
67470	67690	And
67690	68030	that's
68030	68190	when
68190	68490	I
68490	68830	met
68830	69310	you,
69430	69770	yeah
70370	70910	Standing
70910	71390	on
71390	71570	your
71570	72170	mama's
72170	72590	porch
73680	73900	You
73900	74280	told
74280	74660	me
74660	74840	that
74840	75020	she
75020	75340	waits
75340	75800	for
75800	76200	me
77440	77860	All
77860	78280	the
78280	78560	years,
85450	86130	days
86130	86590	of
86590	86990	my
86990	87270	life
92590	92810	Back
92810	93030	in
93030	93170	the
93170	93530	summer
93530	93970	of
93970	94830	69
101200	101940	When
101940	102300	it
102300	102510	was
105720	106200	my
106200	106480	new
106480	106930	time
130010	130390	The
130390	130770	times
130770	131130	are
131130	131710	changing
132570	132810	Look
132810	133050	at
133050	133510	everything
133510	133950	that's
133950	134450	coming
134450	135210	down
136070	136650	Times
136650	136990	went
136990	137290	up
137290	137570	when
137570	137690	you
137690	137830	got
137830	138110	old
138110	138510	sixth
138510	138950	string
139450	139710	So
139710	139910	you're
139910	140150	back
140150	140410	to
140410	140710	wonder
140710	141150	why
141150	141310	it
141310	141510	went
141510	142030	wrong
143050	143570	Standing
143570	144110	on
144110	144290	your
144290	144890	mama's
144890	145350	porch
146460	146640	You
146640	146960	told
146960	147400	me
147400	147640	that
147640	147760	it
147760	147860	was
157030	157350	Those
157350	157730	were
157730	158050	the
158050	158430	best
158430	158950	days
158950	159350	of
159350	159710	my
159710	160250	life
165490	165590	Back
165590	165770	in
165770	165890	the
165890	166290	summer
166290	166670	of
166670	167570	69
174550	174630	69
176230	176770	Oh,
176950	177110	yeah
204240	204440	What's
204440	204620	that?
206350	206710	Nobody
207230	207430	I
207430	207870	said
207870	208890	who's
208890	209130	that?
209410	209550	I
209550	209850	said
209850	210350	nobody
