start	end	text
18220	33200	Quando o nosso filho crescer eu vou-lhe dizer que te conheci num dia de sol, que o teu olhar me prendeu e eu vi o céu em tudo que estava ao meu redor,
33720	39840	que pegaste na minha mão naquel fim de verão e me levaste a jantar,
40890	47410	ficaste com o meu coração e como numa canção fizeste-me adorar,
64700	71940	que soube que era amor para a vida toda, que era contigo a minha vida toda,
71980	76140	que era um amor para a vida toda.
78710	93230	Quando ele ficar maior e quiser saber melhor como é que veio ao mundo, eu vou-lhe dizer, com amor, que sonhei ao por menor, que era o meu desejo profundo,
94030	107970	que tinhas os olhos em água quando cheguei a casa e te dei a boa nova, e o que já era bom ganhou asas, e eu soube de caras que era para a vida toda,
125130	136190	que era amor para a vida toda, que era contigo a minha vida toda, que era um amor para a vida toda.
157290	167340	Que os pais tiveram sempre casados e ternos namorados e vieram convair,
167960	176870	que ali dissemos que era amor para a vida toda, que foi contigo a minha vida toda,
177410	181350	que era um amor para a vida toda.
188810	195470	Que os pais tiveram sempre casados e vieram convair,
214530	221950	que ali dissemos que era amor para a vida toda, que foi contigo a minha vida toda,
222270	226270	que era um amor para a vida toda.
