Quando o nosso filho crescer,18.36,20.58
Eu vou-lhe dizer,21.32,22.36
Que te conheci num dia de sol,22.68,25.22
Que o teu olhar me prendeu,26.14,28.2
E eu vi o céu,28.2,30.02
Em tudo que estava ao meu redor,30.26,32.88
Que pegaste na minha mão,33.66,35.58
Naquele fim de verão,35.58,37.36
E me levaste a jantar,37.36,39.39
Ficaste com o meu coração,40.49,42.71
E como numa canção,43.17,45.0
Fizeste-me adorar,45.0,46.63
Ali,47.81,48.41
Eu soube que era amor,48.69,50.61
Para a vida toda,50.73,52.53
Que era contigo a minha vida toda,53.57,56.39
Que era um amor,57.35,58.15
Para a vida toda,58.19,60.05
Ali,62.92,63.3
Eu soube que era amor,64.4,65.6
Para a vida toda,65.7,67.44
Que era contigo a minha vida toda,67.9,71.38
Que era um amor,72.38,73.1
Para a vida toda,73.18,74.96
Quando eu vi,75.1,79.17
Ele ficar maior,79.17,80.35
E quiser saber melhor,80.55,82.31
Como é que veio ao mundo,83.35,85.37
Eu vou-lhe dizer com amor,86.11,87.94
Que sonhei ao pormenor,87.94,89.97
Que era o meu desejo profundo,90.73,93.05
Que tinhas os olhos em água,93.67,95.67
Quando cheguei a casa,95.81,97.38
E te dei a boa nova,97.38,99.39
E o que já era bom,100.65,102.17
Ganhou asas,102.19,103.42
E eu soube de caras,103.42,105.31
Que era para a vida toda,105.31,107.03
Ali...,107.15,108.71
Dizemos que era amor,109.23,110.59
Para a vida toda,110.81,112.65
Que era contigo a minha vida toda,113.57,116.43
Que era um amor,116.61,118.13
Para a vida toda,118.13,120.31
Ali...,120.81,121.68
Dizemos que era amor,124.39,125.63
Para a vida toda,125.85,127.73
Que era contigo a minha vida toda,128.57,131.39
Que era um amor,132.33,133.14
Para a vida toda,133.14,135.27
Quando ele sair e tiver,138.53,140.49
A sua mulher,141.11,142.31
E já poder dividir um teto,143.15,145.37
Vamos poder vê-lo crescer,145.57,148.13
Ser o que quiser,148.71,149.79
E tomar conta dos nossos netos,150.65,153.23
Um dia já velhinhos cansados,153.33,155.87
Sempre lado a lado,156.27,157.55
Ele vai poder contar,157.57,159.03
Que os pais tiveram sempre casados,160.88,163.26
Eternos namorados,163.26,165.14
E vieram provar,165.14,167.14
Que ali,167.94,168.54
Dizemos que era amor,169.36,170.74
Para a vida toda,171.02,172.56
E que foi contigo a minha vida toda,172.64,176.33
Que era um amor,177.29,178.11
Para a vida toda,178.11,180.35
Ali...,182.91,183.71
Dizemos que era amor,183.81,185.63
Para a vida toda,185.77,187.61
E que foi contigo a minha vida toda,187.83,191.43
Foi um amor,192.31,193.19
Para a vida toda,193.25,195.31
Dizemos que era amor,214.03,215.73
Para a vida toda,215.85,217.69
Que era contigo a minha vida toda,218.23,221.39
Que era um amor,222.29,223.14
Para a vida toda,223.14,225.29
Dizemos que era amor,225.73,230.49
Para a vida toda,230.65,232.61
Que era contigo a minha vida toda,233.17,236.24
Que era um amor,236.46,238.18
Para a vida toda,238.24,240.28
