Quando,18.36,18.8
o,18.8,19.08
nosso,19.08,19.38
filho,19.38,19.8
crescer,19.8,20.58
Eu,21.32,21.4
vou-lhe,21.4,21.92
dizer,21.92,22.36
Que,22.68,22.96
te,22.96,23.16
conheci,23.16,23.88
num,23.88,24.18
dia,24.18,24.56
de,24.56,24.76
sol,24.76,25.22
Que,26.14,26.22
o,26.22,26.44
teu,26.44,26.84
olhar,26.84,27.2
me,27.2,27.44
prendeu,27.44,28.2
E,28.2,28.94
eu,28.94,29.08
vi,29.08,29.38
o,29.38,29.56
céu,29.56,30.02
Em,30.26,30.74
tudo,30.74,31.12
que,31.12,31.3
estava,31.3,31.76
ao,31.76,31.94
meu,31.94,32.18
redor,32.18,32.88
Que,33.66,33.72
pegaste,33.72,34.42
na,34.42,34.64
minha,34.64,35.1
mão,35.1,35.58
Naquele,35.58,36.28
fim,36.28,36.52
de,36.52,36.78
verão,36.78,37.36
E,37.36,37.82
me,37.82,37.94
levaste,37.94,38.6
a,38.6,38.76
jantar,38.76,39.39
Ficaste,40.49,41.45
com,41.45,41.69
o,41.69,41.91
meu,41.91,42.23
coração,42.23,42.71
E,43.17,43.49
como,43.49,43.85
numa,43.85,44.21
canção,44.21,45.0
Fizeste-me,45.0,45.91
adorar,45.91,46.63
Ali,47.81,48.41
Eu,48.69,49.47
soube,49.47,50.01
que,50.01,50.07
era,50.07,50.37
amor,50.37,50.61
Para,50.73,51.29
a,51.29,51.39
vida,51.39,51.77
toda,51.77,52.53
Que,53.57,53.59
era,53.59,53.85
contigo,53.85,54.55
a,54.55,54.65
minha,54.65,55.01
vida,55.01,55.47
toda,55.47,56.39
Que,57.35,57.39
era,57.39,57.59
um,57.59,57.75
amor,57.75,58.15
Para,58.19,58.77
a,58.77,58.87
vida,58.87,59.27
toda,59.27,60.05
Ali,62.92,63.3
Eu,64.4,64.48
soube,64.48,65.02
que,65.02,65.08
era,65.08,65.38
amor,65.38,65.6
Para,65.7,66.28
a,66.28,66.38
vida,66.38,66.76
toda,66.76,67.44
Que,67.9,68.58
era,68.58,68.82
contigo,68.82,69.54
a,69.54,69.66
minha,69.66,70.0
vida,70.0,70.46
toda,70.46,71.38
Que,72.38,72.42
era,72.42,72.6
um,72.6,72.76
amor,72.76,73.1
Para,73.18,73.76
a,73.76,73.9
vida,73.9,74.28
toda,74.28,74.96
Quando,75.1,76.59
eu,78.79,79.15
vi,79.15,79.17
Ele,79.17,79.39
ficar,79.39,79.77
maior,79.77,80.35
E,80.55,80.87
quiser,80.87,81.23
saber,81.23,81.65
melhor,81.65,82.31
Como,83.35,83.51
é,83.51,83.89
que,83.89,83.99
veio,83.99,84.57
ao,84.57,84.89
mundo,84.89,85.37
Eu,86.11,86.25
vou-lhe,86.25,86.79
dizer,86.79,87.03
com,87.03,87.47
amor,87.47,87.94
Que,87.94,88.37
sonhei,88.37,88.91
ao,88.91,89.15
pormenor,89.15,89.97
Que,90.73,90.81
era,90.81,91.07
o,91.07,91.21
meu,91.21,91.47
desejo,91.47,92.11
profundo,92.11,93.05
Que,93.67,93.71
tinhas,93.71,94.25
os,94.25,94.51
olhos,94.51,94.91
em,94.91,95.21
água,95.21,95.67
Quando,95.81,96.23
cheguei,96.23,96.89
a,96.89,97.01
casa,97.01,97.38
E,97.38,97.73
te,97.73,97.91
dei,97.91,98.33
a,98.33,98.41
boa,98.41,98.87
nova,98.87,99.39
E,100.65,100.87
o,100.87,101.03
que,101.03,101.17
já,101.17,101.45
era,101.45,101.93
bom,101.93,102.17
Ganhou,102.19,102.71
asas,102.71,103.42
E,103.42,103.59
eu,103.59,103.83
soube,103.83,104.35
de,104.35,104.47
caras,104.47,105.31
Que,105.31,105.47
era,105.47,105.67
para,105.67,105.85
a,105.85,105.99
vida,105.99,106.31
toda,106.31,107.03
Ali...,107.15,108.71
Dizemos,109.23,109.91
que,109.91,110.07
era,110.07,110.35
amor,110.35,110.59
Para,110.81,111.27
a,111.27,111.37
vida,111.37,111.75
toda,111.75,112.65
Que,113.57,113.59
era,113.59,113.79
contigo,113.79,114.51
a,114.51,114.63
minha,114.63,114.97
vida,114.97,115.41
toda,115.41,116.43
Que,116.61,117.33
era,117.33,117.55
um,117.55,117.73
amor,117.73,118.13
Para,118.13,118.71
a,118.71,118.85
vida,118.85,119.25
toda,119.25,120.31
Ali...,120.81,121.68
Dizemos,124.39,124.89
que,124.89,125.07
era,125.07,125.35
amor,125.35,125.63
Para,125.85,126.23
a,126.23,126.35
vida,126.35,126.73
toda,126.73,127.73
Que,128.57,128.59
era,128.59,128.81
contigo,128.81,129.53
a,129.53,129.63
minha,129.63,129.97
vida,129.97,130.37
toda,130.37,131.39
Que,132.33,132.35
era,132.35,132.57
um,132.57,132.73
amor,132.73,133.14
Para,133.14,133.71
a,133.71,133.83
vida,133.83,134.25
toda,134.25,135.27
Quando,138.53,138.71
ele,138.71,139.17
sair,139.17,139.51
e,139.51,139.97
tiver,139.97,140.49
A,141.11,141.33
sua,141.33,141.49
mulher,141.49,142.31
E,143.15,143.23
já,143.23,143.39
poder,143.39,143.83
dividir,143.83,144.75
um,144.75,144.91
teto,144.91,145.37
Vamos,145.57,146.27
poder,146.27,146.89
vê-lo,146.89,147.45
crescer,147.45,148.13
Ser,148.71,148.83
o,148.83,149.01
que,149.01,149.21
quiser,149.21,149.79
E,150.65,150.67
tomar,150.67,150.91
conta,150.91,151.55
dos,151.55,151.97
nossos,151.97,152.27
netos,152.27,153.23
Um,153.33,153.61
dia,153.61,153.91
já,153.91,154.11
velhinhos,154.11,154.83
cansados,154.83,155.87
Sempre,156.27,156.43
lado,156.43,156.73
a,156.73,157.03
lado,157.03,157.55
Ele,157.57,157.93
vai,157.93,158.15
poder,158.15,158.61
contar,158.61,159.03
Que,160.88,160.92
os,160.92,161.04
pais,161.04,161.34
tiveram,161.34,162.0
sempre,162.0,162.32
casados,162.32,163.26
Eternos,163.26,164.14
namorados,164.14,165.14
E,165.14,165.46
vieram,165.46,166.26
provar,166.26,167.14
Que,167.94,167.98
ali,167.98,168.54
Dizemos,169.36,169.92
que,169.92,170.08
era,170.08,170.36
amor,170.36,170.74
Para,171.02,171.26
a,171.26,171.36
vida,171.36,171.74
toda,171.74,172.56
E,172.64,173.04
que,173.29,173.57
foi,173.57,173.91
contigo,173.91,174.51
a,174.51,174.61
minha,174.61,174.89
vida,174.89,175.41
toda,175.41,176.33
Que,177.29,177.33
era,177.33,177.55
um,177.55,177.71
amor,177.71,178.11
Para,178.11,178.67
a,178.67,178.81
vida,178.81,179.21
toda,179.21,180.35
Ali...,182.91,183.71
Dizemos,183.81,184.87
que,184.87,185.03
era,185.03,185.29
amor,185.29,185.63
Para,185.77,186.19
a,186.19,186.33
vida,186.33,186.71
toda,186.71,187.61
E,187.83,188.05
que,188.31,188.55
foi,188.55,188.91
contigo,188.91,189.53
a,189.53,189.61
minha,189.61,189.89
vida,189.89,190.37
toda,190.37,191.43
Foi,192.31,192.43
um,192.43,192.69
amor,192.69,193.19
Para,193.25,193.71
a,193.71,193.79
vida,193.79,194.23
toda,194.23,195.31
Dizemos,214.03,214.89
que,214.89,215.05
era,215.05,215.33
amor,215.33,215.73
Para,215.85,216.19
a,216.19,216.35
vida,216.35,216.73
toda,216.73,217.69
Que,218.23,218.55
era,218.55,218.93
contigo,218.93,219.47
a,219.47,219.59
minha,219.59,219.87
vida,219.87,220.37
toda,220.37,221.39
Que,222.29,222.31
era,222.31,222.53
um,222.53,222.71
amor,222.71,223.14
Para,223.14,223.65
a,223.65,223.81
vida,223.81,224.19
toda,224.19,225.29
Dizemos,225.73,226.8
que,229.85,230.03
era,230.03,230.29
amor,230.29,230.49
Para,230.65,231.21
a,231.21,231.33
vida,231.33,231.65
toda,231.65,232.61
Que,233.17,233.6
era,233.6,233.8
contigo,233.8,234.5
a,234.5,234.6
minha,234.6,234.88
vida,234.88,235.36
toda,235.36,236.24
Que,236.46,237.32
era,237.32,237.54
um,237.54,237.7
amor,237.7,238.18
Para,238.24,238.7
a,238.7,238.82
vida,238.82,239.16
toda,239.16,240.28
