start	end	text
18360	18800	Quando
18800	19080	o
19080	19380	nosso
19380	19800	filho
19800	20580	crescer
21320	21400	Eu
21400	21920	vou-lhe
21920	22360	dizer
22680	22960	Que
22960	23160	te
23160	23880	conheci
23880	24180	num
24180	24560	dia
24560	24760	de
24760	25220	sol
26140	26220	Que
26220	26440	o
26440	26840	teu
26840	27200	olhar
27200	27440	me
27440	28200	prendeu
28200	28940	E
28940	29080	eu
29080	29380	vi
29380	29560	o
29560	30020	céu
30260	30740	Em
30740	31120	tudo
31120	31300	que
31300	31760	estava
31760	31940	ao
31940	32180	meu
32180	32880	redor
33660	33720	Que
33720	34420	pegaste
34420	34640	na
34640	35100	minha
35100	35580	mão
35580	36280	Naquele
36280	36520	fim
36520	36780	de
36780	37360	verão
37360	37820	E
37820	37940	me
37940	38600	levaste
38600	38760	a
38760	39390	jantar
40490	41450	Ficaste
41450	41690	com
41690	41910	o
41910	42230	meu
42230	42710	coração
43170	43490	E
43490	43850	como
43850	44210	numa
44210	45000	canção
45000	45910	Fizeste-me
45910	46630	adorar
47810	48410	Ali
48690	49470	Eu
49470	50010	soube
50010	50070	que
50070	50370	era
50370	50610	amor
50730	51290	Para
51290	51390	a
51390	51770	vida
51770	52530	toda
53570	53590	Que
53590	53850	era
53850	54550	contigo
54550	54650	a
54650	55010	minha
55010	55470	vida
55470	56390	toda
57350	57390	Que
57390	57590	era
57590	57750	um
57750	58150	amor
58190	58770	Para
58770	58870	a
58870	59270	vida
59270	60050	toda
62920	63300	Ali
64400	64480	Eu
64480	65020	soube
65020	65080	que
65080	65380	era
65380	65600	amor
65700	66280	Para
66280	66380	a
66380	66760	vida
66760	67440	toda
67900	68580	Que
68580	68820	era
68820	69540	contigo
69540	69660	a
69660	70000	minha
70000	70460	vida
70460	71380	toda
72380	72420	Que
72420	72600	era
72600	72760	um
72760	73100	amor
73180	73760	Para
73760	73900	a
73900	74280	vida
74280	74960	toda
75100	76590	Quando
78790	79150	eu
79150	79170	vi
79170	79390	Ele
79390	79770	ficar
79770	80350	maior
80550	80870	E
80870	81230	quiser
81230	81650	saber
81650	82310	melhor
83350	83510	Como
83510	83890	é
83890	83990	que
83990	84570	veio
84570	84890	ao
84890	85370	mundo
86110	86250	Eu
86250	86790	vou-lhe
86790	87030	dizer
87030	87470	com
87470	87940	amor
87940	88370	Que
88370	88910	sonhei
88910	89150	ao
89150	89970	pormenor
90730	90810	Que
90810	91070	era
91070	91210	o
91210	91470	meu
91470	92110	desejo
92110	93050	profundo
93670	93710	Que
93710	94250	tinhas
94250	94510	os
94510	94910	olhos
94910	95210	em
95210	95670	água
95810	96230	Quando
96230	96890	cheguei
96890	97010	a
97010	97380	casa
97380	97730	E
97730	97910	te
97910	98330	dei
98330	98410	a
98410	98870	boa
98870	99390	nova
100650	100870	E
100870	101030	o
101030	101170	que
101170	101450	já
101450	101930	era
101930	102170	bom
102190	102710	Ganhou
102710	103420	asas
103420	103590	E
103590	103830	eu
103830	104350	soube
104350	104470	de
104470	105310	caras
105310	105470	Que
105470	105670	era
105670	105850	para
105850	105990	a
105990	106310	vida
106310	107030	toda
107150	108710	Ali...
109230	109910	Dizemos
109910	110070	que
110070	110350	era
110350	110590	amor
110810	111270	Para
111270	111370	a
111370	111750	vida
111750	112650	toda
113570	113590	Que
113590	113790	era
113790	114510	contigo
114510	114630	a
114630	114970	minha
114970	115410	vida
115410	116430	toda
116610	117330	Que
117330	117550	era
117550	117730	um
117730	118130	amor
