start	end	text
5780	14030	I see bad moon rising, trouble on the way.
17780	19440	There are wakes and lightning.
21790	24670	I see bad times today.
26900	31340	Don't go around tonight, but let's finally take your life.
32420	35400	There's a bad moon on the right.
37710	40710	I hear hurricanes blowing.
43050	45950	I know the end is coming soon.
48420	51460	I hear rivers overflowing.
53730	56670	I hear the voice of rain is growing.
59060	63480	Don't go around tonight, but let's finally take your life.
64460	67460	There's a bad moon on the right.
68720	69580	Oh, right.
91060	94020	Hope you got your things together.
96500	99340	Hope you got quite the bad day.
101690	104790	Looks like we're in for NASA weather.
107060	110080	One eye is taken before an eye.
111670	116810	Well, don't go around tonight, but it's time to take your life.
117850	120890	There's a bad moon on the right.
123790	127540	Well, don't go around tonight, but it's time to take your life.
128560	131620	There's a bad moon on the right.
