start	end	text
5780	6000	I
6000	6520	see
6520	7480	bad
7480	8020	moon
8020	8780	rising,
12010	12750	trouble
12750	13410	on
13410	13690	the
13690	14030	way.
17780	18080	There
18080	18260	are
18260	18660	wakes
18660	18940	and
18940	19440	lightning.
21790	22010	I
22010	22510	see
22510	23430	bad
23430	24070	times
24070	24670	today.
26900	27340	Don't
27340	27600	go
27600	27980	around
27980	28540	tonight,
29280	29460	but
29460	29660	let's
29660	30140	finally
30140	30540	take
30540	30840	your
30840	31340	life.
32420	33480	There's
33480	33600	a
33600	33860	bad
33860	34300	moon
34300	34740	on
34740	35080	the
35080	35400	right.
37710	37990	I
37990	38490	hear
38490	39690	hurricanes
39690	40710	blowing.
43050	43310	I
43310	43730	know
43730	44330	the
44330	44670	end
44670	44990	is
44990	45390	coming
45390	45950	soon.
48420	48700	I
48700	49160	hear
49160	50100	rivers
50100	51460	overflowing.
53730	54030	I
54030	54590	hear
54590	54930	the
54930	55290	voice
55290	55630	of
55630	55970	rain
55970	56210	is
56210	56670	growing.
59060	59440	Don't
59440	59760	go
59760	60060	around
60060	60660	tonight,
61380	61500	but
61500	61800	let's
61800	62200	finally
62200	62580	take
62580	62920	your
62920	63480	life.
64460	65540	There's
65540	65680	a
65680	65920	bad
65920	66340	moon
66340	66780	on
66780	67080	the
67080	67460	right.
68720	69180	Oh,
69460	69580	right.
91060	91380	Hope
91380	91800	you
91800	92620	got
92620	92920	your
92920	93420	things
93420	94020	together.
96500	96760	Hope
96760	97200	you
97200	97680	got
97680	98040	quite
98040	98260	the
98260	98720	bad
98720	99340	day.
101690	102050	Looks
102050	102590	like
102590	103170	we're
103170	103410	in
103410	103670	for
103670	104150	NASA
104150	104790	weather.
107060	107420	One
107420	107840	eye
107840	108460	is
108460	108840	taken
108840	109480	before
109480	109860	an
109860	110080	eye.
111670	112290	Well,
112450	112870	don't
112870	113110	go
113110	113490	around
113490	114050	tonight,
114810	114910	but
114910	115130	it's
115130	115510	time
115510	115770	to
115770	116030	take
116030	116350	your
116350	116810	life.
117850	118930	There's
118930	119070	a
119070	119350	bad
119350	119710	moon
119710	120190	on
120190	120570	the
120570	120890	right.
123790	123980	Well,
124120	124280	don't
124280	124300	go
124300	124320	around
124320	124720	tonight,
125520	125620	but
125620	125880	it's
125880	126180	time
126180	126480	to
126480	126740	take
126740	127040	your
127040	127540	life.
128560	129660	There's
129660	129820	a
129820	130080	bad
130080	130480	moon
130480	130940	on
130940	131220	the
131220	131620	right.
