start	end	text
28140	28320	Un
28320	28700	sueño
28700	29700	soñaba
29700	30340	noche,
31500	32090	soñito
32090	32450	del
32450	33070	alma
33070	33930	mía
37740	37950	que
37950	38150	en
38150	38310	mis
38310	39010	casos
39010	39530	los
39530	40570	tenía
41670	41870	y
41870	42070	entrar
42070	42570	señora
42570	43370	muy
43370	44070	blanca,
45110	45310	muy
45310	45550	más
45550	45770	que
45770	45970	la
45970	46710	nieve
46710	47550	fría,
48130	48310	por
48310	48630	donde
48630	49150	has
49150	50070	entrado
50070	50790	amor,
51570	51810	como
51810	52070	has
52070	53050	rentado
53050	53650	mi
53650	54310	vida.
55210	55530	Las
55530	55970	puertas
55970	56570	están
56570	57710	cerradas,
58770	59350	ventanas
59350	59670	y
59670	61190	celosías,
61730	61950	no
61950	62270	soy
62270	62930	el
62930	63450	amor
63450	64510	amante,
65130	65350	soy
65350	65590	la
65590	66270	muerte,
66550	66770	Dios
66770	67290	me
67290	67990	envía
98090	98580	cosa,
99360	100320	déjame
100320	100740	vivir
100740	101480	un
101480	102060	día,
102800	102960	un
102960	103300	día
103300	103980	no
103980	104540	puede
104540	105320	ser,
106220	106460	una
106460	106740	hora
106740	107480	tienes
107480	108280	de
108280	108940	vida,
109940	110220	muy
110220	110760	deprisa
110760	111160	se
111160	112320	casaba,
113340	113560	más
113560	114180	deprisa
114180	114540	se
114540	115780	vestía,
116380	116540	y
116540	116720	se
116720	117140	va
117140	117840	para
117840	118460	la
118460	119100	calle,
119820	120040	en
120040	120340	donde
120340	120980	su
120980	121480	amor
121480	122640	vivía.
123660	124140	Ábreme
124140	124480	la
124480	124880	puerta
124880	126040	blanca,
127100	127560	ábreme
127560	127880	la
127880	128580	puerta
128580	129500	niña,
130040	130360	como
130360	130780	te
130780	131860	podé
131860	132060	yo
132060	132500	abrir,
133420	133600	si
133600	134620	locacio
134620	134940	no
134940	135360	es
135360	136260	venida,
137270	137490	mi
137490	137810	padre
137810	138110	no
138110	138390	fue
138390	138770	al
138770	139710	palacio,
140700	140920	mi
140920	141240	madre
141240	141520	no
141520	141820	está
141820	143100	dormida,
143640	143860	si
143860	144080	no
144080	144260	me
144260	144960	abres
144960	145740	esta
145740	146080	noche,
147160	147320	ya
147320	147520	no
147520	147720	me
147720	148860	abrirás
148860	149860	querida.
168460	168630	Tu
168630	168970	vida
168970	170270	sería,
171070	171370	vete
171370	171870	bajo
171870	172250	mí,
174370	174670	donde
174670	175070	la
175070	175760	brava
176090	176290	y
176290	177050	cocia,
178240	178420	te
178420	178900	echaré
178900	179540	cordón
179540	179920	de
179920	180560	seda,
181640	182000	para
182000	182240	que
182240	183000	subas
183000	183580	arriba,
184680	184820	y
184820	184980	si
184980	185200	el
185200	185840	hilo
185840	186100	no
186100	187420	alcanzare,
188020	188200	mis
188200	188880	trenzas
188880	190820	añadiría.
191640	192060	Se
192060	192520	rompió
192520	192600	el
192600	193200	cordón
193200	193580	de
193580	194320	seda,
195280	195460	la
195460	195760	muerte
195760	196120	que
196120	196420	allí
196420	197640	venía,
198300	198660	vamos
198660	199140	a
199140	199380	ser
199380	201140	enamorado,
201720	201900	que
201900	202120	la
202120	202820	obra
202820	203180	ya
203180	203540	es
203540	204520	cumplida.
