start	end	text
28140	33930	Un sueño soñaba noche, soñito del alma mía
37740	40570	que en mis casos los tenía
41670	44070	y entrar señora muy blanca,
45110	47550	muy más que la nieve fría,
48130	50790	por donde has entrado amor,
51570	54310	como has rentado mi vida.
55210	57710	Las puertas están cerradas,
58770	61190	ventanas y celosías,
61730	64510	no soy el amor amante,
65130	67990	soy la muerte, Dios me envía
98090	102060	cosa, déjame vivir un día,
102800	105320	un día no puede ser,
106220	108940	una hora tienes de vida,
109940	112320	muy deprisa se casaba,
113340	115780	más deprisa se vestía,
116380	119100	y se va para la calle,
119820	122640	en donde su amor vivía.
123660	126040	Ábreme la puerta blanca,
127100	129500	ábreme la puerta niña,
130040	132500	como te podé yo abrir,
133420	136260	si locacio no es venida,
137270	139710	mi padre no fue al palacio,
140700	143100	mi madre no está dormida,
143640	146080	si no me abres esta noche,
147160	149860	ya no me abrirás querida.
168460	172250	Tu vida sería, vete bajo mí,
174370	177050	donde la brava y cocia,
178240	180560	te echaré cordón de seda,
181640	183580	para que subas arriba,
184680	187420	y si el hilo no alcanzare,
188020	190820	mis trenzas añadiría.
191640	194320	Se rompió el cordón de seda,
195280	197640	la muerte que allí venía,
198300	201140	vamos a ser enamorado,
201720	204520	que la obra ya es cumplida.
