Un,28.14,28.32
sueño,28.32,28.7
soñaba,28.7,29.7
"noche,",29.7,30.34
soñito,31.5,32.09
del,32.09,32.45
alma,32.45,33.07
mía,33.07,33.93
que,37.74,37.95
en,37.95,38.15
mis,38.15,38.31
casos,38.31,39.01
los,39.01,39.53
tenía,39.53,40.57
y,41.67,41.87
entrar,41.87,42.07
señora,42.07,42.57
muy,42.57,43.37
"blanca,",43.37,44.07
muy,45.11,45.31
más,45.31,45.55
que,45.55,45.77
la,45.77,45.97
nieve,45.97,46.71
"fría,",46.71,47.55
por,48.13,48.31
donde,48.31,48.63
has,48.63,49.15
entrado,49.15,50.07
"amor,",50.07,50.79
como,51.57,51.81
has,51.81,52.07
rentado,52.07,53.05
mi,53.05,53.65
vida.,53.65,54.31
Las,55.21,55.53
puertas,55.53,55.97
están,55.97,56.57
"cerradas,",56.57,57.71
ventanas,58.77,59.35
y,59.35,59.67
"celosías,",59.67,61.19
no,61.73,61.95
soy,61.95,62.27
el,62.27,62.93
amor,62.93,63.45
"amante,",63.45,64.51
soy,65.13,65.35
la,65.35,65.59
"muerte,",65.59,66.27
Dios,66.55,66.77
me,66.77,67.29
envía,67.29,67.99
"cosa,",98.09,98.58
déjame,99.36,100.32
vivir,100.32,100.74
un,100.74,101.48
"día,",101.48,102.06
un,102.8,102.96
día,102.96,103.3
no,103.3,103.98
puede,103.98,104.54
"ser,",104.54,105.32
una,106.22,106.46
hora,106.46,106.74
tienes,106.74,107.48
de,107.48,108.28
"vida,",108.28,108.94
muy,109.94,110.22
deprisa,110.22,110.76
se,110.76,111.16
"casaba,",111.16,112.32
más,113.34,113.56
deprisa,113.56,114.18
se,114.18,114.54
"vestía,",114.54,115.78
y,116.38,116.54
se,116.54,116.72
va,116.72,117.14
para,117.14,117.84
la,117.84,118.46
"calle,",118.46,119.1
en,119.82,120.04
donde,120.04,120.34
su,120.34,120.98
amor,120.98,121.48
vivía.,121.48,122.64
Ábreme,123.66,124.14
la,124.14,124.48
puerta,124.48,124.88
"blanca,",124.88,126.04
ábreme,127.1,127.56
la,127.56,127.88
puerta,127.88,128.58
"niña,",128.58,129.5
como,130.04,130.36
te,130.36,130.78
podé,130.78,131.86
yo,131.86,132.06
"abrir,",132.06,132.5
si,133.42,133.6
locacio,133.6,134.62
no,134.62,134.94
es,134.94,135.36
"venida,",135.36,136.26
mi,137.27,137.49
padre,137.49,137.81
no,137.81,138.11
fue,138.11,138.39
al,138.39,138.77
"palacio,",138.77,139.71
mi,140.7,140.92
madre,140.92,141.24
no,141.24,141.52
está,141.52,141.82
"dormida,",141.82,143.1
si,143.64,143.86
no,143.86,144.08
me,144.08,144.26
abres,144.26,144.96
esta,144.96,145.74
"noche,",145.74,146.08
ya,147.16,147.32
no,147.32,147.52
me,147.52,147.72
abrirás,147.72,148.86
querida.,148.86,149.86
Tu,168.46,168.63
vida,168.63,168.97
"sería,",168.97,170.27
vete,171.07,171.37
bajo,171.37,171.87
"mí,",171.87,172.25
donde,174.37,174.67
la,174.67,175.07
brava,175.07,175.76
y,176.09,176.29
"cocia,",176.29,177.05
te,178.24,178.42
echaré,178.42,178.9
cordón,178.9,179.54
de,179.54,179.92
"seda,",179.92,180.56
para,181.64,182.0
que,182.0,182.24
subas,182.24,183.0
"arriba,",183.0,183.58
y,184.68,184.82
si,184.82,184.98
el,184.98,185.2
hilo,185.2,185.84
no,185.84,186.1
"alcanzare,",186.1,187.42
mis,188.02,188.2
trenzas,188.2,188.88
añadiría.,188.88,190.82
Se,191.64,192.06
rompió,192.06,192.52
el,192.52,192.6
cordón,192.6,193.2
de,193.2,193.58
"seda,",193.58,194.32
la,195.28,195.46
muerte,195.46,195.76
que,195.76,196.12
allí,196.12,196.42
"venía,",196.42,197.64
vamos,198.3,198.66
a,198.66,199.14
ser,199.14,199.38
"enamorado,",199.38,201.14
que,201.72,201.9
la,201.9,202.12
obra,202.12,202.82
ya,202.82,203.18
es,203.18,203.54
cumplida.,203.54,204.52
