"Un sueño soñaba noche, soñito del alma mía",28.14,33.93
que en mis casos los tenía,37.74,40.57
"y entrar señora muy blanca,",41.67,44.07
"muy más que la nieve fría,",45.11,47.55
"por donde has entrado amor,",48.13,50.79
como has rentado mi vida.,51.57,54.31
"Las puertas están cerradas,",55.21,57.71
"ventanas y celosías,",58.77,61.19
"no soy el amor amante,",61.73,64.51
"soy la muerte, Dios me envía",65.13,67.99
"cosa, déjame vivir un día,",98.09,102.06
"un día no puede ser,",102.8,105.32
"una hora tienes de vida,",106.22,108.94
"muy deprisa se casaba,",109.94,112.32
"más deprisa se vestía,",113.34,115.78
"y se va para la calle,",116.38,119.1
en donde su amor vivía.,119.82,122.64
"Ábreme la puerta blanca,",123.66,126.04
"ábreme la puerta niña,",127.1,129.5
"como te podé yo abrir,",130.04,132.5
"si locacio no es venida,",133.42,136.26
"mi padre no fue al palacio,",137.27,139.71
"mi madre no está dormida,",140.7,143.1
"si no me abres esta noche,",143.64,146.08
ya no me abrirás querida.,147.16,149.86
"Tu vida sería, vete bajo mí,",168.46,172.25
"donde la brava y cocia,",174.37,177.05
"te echaré cordón de seda,",178.24,180.56
"para que subas arriba,",181.64,183.58
"y si el hilo no alcanzare,",184.68,187.42
mis trenzas añadiría.,188.02,190.82
"Se rompió el cordón de seda,",191.64,194.32
"la muerte que allí venía,",195.28,197.64
"vamos a ser enamorado,",198.3,201.14
que la obra ya es cumplida.,201.72,204.52
