start	end	text
2550	5810	Ah, this is by everybody who's been restored.
6610	7930	DeLaurin's coming at ya.
8770	10670	Get up, come on y'all, let's sing this song.
12180	12460	Ah.
13220	13460	Oh.
14460	16600	Got a story to tell you
16680	20240	Of some things that have been through but I'm here
20620	21300	Yo, I'm here.
22140	23180	Oh, I'm here.
23560	24260	I like that.
24780	26920	Got some bugs, got some doubt
27020	27960	Oh, you only knew.
28040	30480	To the ground, but I'm here
30760	32280	Right now, I stand before you.
32440	33240	Oh, I'm here.
33240	34000	Ah.
34940	36460	That too, that's so important.
36460	37360	I love that.
38120	39640	More than what we'll remember.
39740	40660	But I'm here.
41160	41980	I stand here.
42620	43680	Oh, I'm here.
44140	44800	Thank you, Lord.
45160	47460	I had some sunshine and some rain.
47500	47720	Yeah.
48380	50140	Or they can't some pain.
50320	50960	I'm here.
51460	51900	I'm here.
53010	53660	Oh, I'm here.
53660	54240	Oh, listen.
54820	55890	My daughter first.
56220	57600	God touched me.
58000	58640	He lived.
59120	59960	Ah, he delivered.
60460	63120	He said, I'm so free.
63710	64990	Now my heart is mended.
65150	66510	My heart is mended.
66610	67870	Oh, I'm whole again.
69770	71290	You see, there's no change.
73720	74680	Yeah, guess what?
77980	78720	Got my liberty.
79180	79740	I'm here.
80640	80880	Ah.
81360	82900	I'm here.
82900	83680	Oh, say it, y'all.
89870	90930	Ah, ah, yeah, yeah.
92340	93820	Oh, he set my soul.
93900	97010	He set my free.
97070	98290	Anybody free like me.
98390	100180	My heart is mended.
100220	101340	Anybody mended.
101600	103070	I'm whole again.
103150	103950	Yeah, yeah, yeah.
104110	107450	Don't say, he is.
107450	108070	Guess what?
108130	111360	He is.
111360	113190	Oh, where the spirit is, there's a limit.
115470	116000	I am here.
116000	116740	Yeah, yeah, yeah.
117780	118580	I am here.
122060	123780	I may have some scars.
124240	125060	I am here.
125580	126060	But I'm here.
126400	127060	Circumstances.
127920	128800	Still got some circumstances.
129320	130060	I'm still here.
130460	131060	But I'm still here.
131640	133040	It's a point man.
133580	134020	Oh, let's take it out.
135080	135820	Say that again, y'all.
137080	137600	With his stripes.
139080	140620	Oh, oh, oh, I'm here.
143080	144440	Anybody here like me.
146020	146480	With his stripes.
147080	148260	I'm here.
148910	149550	I'm here.
150270	150750	I'm here.
150750	150790	I'm here.
151110	151670	I'm here.
161450	162510	I'm here.
165840	166610	I'm here.
166610	166730	I'm here.
167750	168350	I'm here.
168350	168390	I'm here.
177350	177770	I'm here.
177770	177860	I'm here.
177860	177950	I'm here.
181520	183020	I'm here.
183560	186860	I'm here.
186920	187860	With his stripes.
188280	189100	With his stripes.
189420	189680	I'm here.
189680	190020	I'm here.
190740	192330	I like this part.
192390	193110	I like this part.
193170	194370	We have some scars.
194990	195230	Yeah.
195910	196650	I am here.
196650	197550	I'm here.
198050	198860	Circumstances.
198860	199170	Circumstances.
200290	200950	I'm still here.
201070	201680	I'm still here.
201680	202090	It's a point man.
202470	202770	Many disappear.
203370	204530	I am here.
205570	206350	We have some scars.
206510	206870	I am here.
206870	208250	I am here.
208490	209080	Circumstances.
209080	209700	Circumstances.
209700	209810	Circumstances.
211290	212190	Circumstances.
212710	213550	I'm still here.
214430	214810	I'm here.
214810	214850	I'm here.
216310	216790	I'm here.
216790	216900	I'm here.
216900	217010	I'm here.
217810	218290	I'm here.
218810	219830	I'm here.
220630	221350	I'm here.
221690	222430	I'm here.
222430	223290	I'm here.
223890	224790	I'm here.
224790	226910	I'm here.
227390	228590	I'm here.
228590	228910	I'm here.
231820	232300	I'm here.
232300	232520	I'm here.
233780	234060	I'm here.
235420	237450	I'm here.
237450	237550	I'm here.
238650	238690	I'm here.
239530	239990	I'm here.
240340	241310	I'm here.
241310	244110	I'm here.
244670	245000	I'm here.
245000	247310	I'm here.
247490	247990	I'm here.
248570	249290	I'm here.
252300	253290	I'm here.
253290	253450	I'm here.
253470	254930	I'm here.
255590	258680	I'm here.
258680	259680	I'm here.
260280	260600	I'm here.
260600	260660	I'm here.
264990	265790	I'm here.
265790	265830	I'm here.
267950	268580	I'm here.
268580	268620	I'm here.
268620	268740	I'm here.
269660	271520	I'm here.
272180	272240	I'm here.
272620	273050	I'm here.
273050	273300	I'm here.
273600	274960	I'm here.
274980	276120	I'm here.
276120	276260	I'm here.
277870	279050	I'm here.
279050	279090	I'm here.
280170	281050	I'm here.
281050	281090	I'm here.
281090	281170	I'm here.
282990	283740	I'm here.
283740	284070	I'm here.
285250	286380	I'm here.
286380	286510	I'm here.
288110	288550	I'm here.
288550	288730	I'm here.
289810	291350	I'm here.
291350	291910	I'm here.
293350	293390	I'm here.
294230	294370	I'm here.
