"Ah,",2.55,2.81
this,3.83,3.95
is,3.95,4.13
by,4.13,4.29
everybody,4.29,4.75
who's,4.75,5.17
been,5.17,5.35
restored.,5.35,5.81
DeLaurin's,6.61,7.21
coming,7.21,7.43
at,7.43,7.71
ya.,7.71,7.93
Get,8.77,8.97
"up,",8.97,9.15
come,9.29,9.41
on,9.41,9.55
"y'all,",9.55,9.79
let's,9.87,10.05
sing,10.05,10.23
this,10.23,10.41
song.,10.41,10.67
Ah.,12.18,12.46
Oh.,13.22,13.46
Got,14.46,14.72
a,14.72,15.0
story,15.0,15.5
to,15.5,15.92
tell,15.92,16.3
you,16.3,16.6
Of,16.68,17.2
some,17.2,17.48
things,17.48,17.9
that,17.9,18.24
have,18.24,18.56
been,18.56,18.84
through,18.84,19.12
but,19.12,19.58
I'm,19.58,19.86
here,19.86,20.24
"Yo,",20.62,20.8
I'm,20.86,21.04
here.,21.04,21.3
"Oh,",22.14,22.46
I'm,22.5,22.84
here.,22.84,23.18
I,23.56,23.72
like,23.72,23.92
that.,23.92,24.26
Got,24.78,24.94
some,24.94,25.2
"bugs,",25.2,25.76
got,26.06,26.2
some,26.2,26.5
doubt,26.5,26.92
"Oh,",27.02,27.26
you,27.4,27.56
only,27.56,27.76
knew.,27.76,27.96
To,28.04,28.72
the,28.72,29.06
"ground,",29.06,29.34
but,29.5,29.78
I'm,29.78,30.1
here,30.1,30.48
Right,30.76,30.96
"now,",30.96,31.22
I,31.3,31.38
stand,31.38,31.66
before,31.66,32.02
you.,32.02,32.28
"Oh,",32.44,32.7
I'm,32.82,33.08
here.,33.08,33.24
Ah.,33.24,34.0
That,34.94,35.22
"too,",35.22,35.5
that's,35.64,36.02
so,36.02,36.18
important.,36.18,36.46
I,36.46,36.82
love,36.82,37.06
that.,37.06,37.36
More,38.12,38.4
than,38.4,38.7
what,38.7,38.98
we'll,38.98,39.46
remember.,39.46,39.64
But,39.74,40.14
I'm,40.14,40.34
here.,40.34,40.66
I,41.16,41.28
stand,41.28,41.6
here.,41.6,41.98
"Oh,",42.62,42.98
I'm,43.12,43.34
here.,43.34,43.68
Thank,44.14,44.38
"you,",44.38,44.58
Lord.,44.6,44.8
I,45.16,45.24
had,45.24,45.42
some,45.42,45.68
sunshine,45.68,46.24
and,46.24,46.72
some,46.72,46.98
rain.,46.98,47.46
Yeah.,47.5,47.72
Or,48.38,48.72
they,48.72,48.94
can't,48.94,49.3
some,49.3,49.56
pain.,49.56,50.14
I'm,50.32,50.7
here.,50.7,50.96
I'm,51.46,51.56
here.,51.56,51.9
"Oh,",53.01,53.24
I'm,53.38,53.56
here.,53.56,53.66
"Oh,",53.66,54.0
listen.,54.02,54.24
My,54.82,55.1
daughter,55.1,55.46
first.,55.46,55.89
God,56.22,56.82
touched,56.82,57.26
me.,57.26,57.6
He,58.0,58.28
lived.,58.28,58.64
"Ah,",59.12,59.28
he,59.42,59.52
delivered.,59.52,59.96
He,60.46,60.74
"said,",60.74,61.14
I'm,61.34,61.96
so,61.96,62.38
free.,62.38,63.12
Now,63.71,63.89
my,63.89,64.15
heart,64.15,64.39
is,64.39,64.61
mended.,64.61,64.99
My,65.15,65.33
heart,65.33,65.67
is,65.67,65.91
mended.,66.27,66.51
"Oh,",66.61,66.95
I'm,66.97,67.17
whole,67.17,67.43
again.,67.43,67.87
You,69.77,69.87
"see,",69.87,70.13
there's,70.39,70.59
no,70.59,70.77
change.,70.77,71.29
"Yeah,",73.72,74.02
guess,74.04,74.36
what?,74.36,74.68
Got,77.98,78.18
my,78.18,78.38
liberty.,78.38,78.72
I'm,79.18,79.4
here.,79.4,79.74
Ah.,80.64,80.88
I'm,81.36,81.59
here.,82.76,82.9
"Oh,",82.9,83.12
say,83.22,83.34
"it,",83.34,83.44
y'all.,83.46,83.68
"Ah,",89.87,89.99
"ah,",90.03,90.21
"yeah,",90.53,90.57
yeah.,90.69,90.93
"Oh,",92.34,92.58
he,92.74,92.84
set,92.84,93.16
my,93.16,93.4
soul.,93.4,93.82
He,93.9,94.12
set,94.12,94.48
my,94.48,94.9
free.,96.65,97.01
Anybody,97.07,97.41
free,97.41,97.77
like,97.77,98.01
me.,98.01,98.29
My,98.39,98.63
heart,98.63,98.99
is,99.82,100.0
mended.,100.0,100.18
Anybody,100.22,100.68
mended.,100.68,101.34
I'm,101.6,101.88
whole,101.88,102.07
again.,102.75,103.07
"Yeah,",103.15,103.39
"yeah,",103.47,103.69
yeah.,103.77,103.95
Don't,104.11,104.43
"say,",104.43,104.67
he,107.15,107.35
is.,107.35,107.45
Guess,107.45,107.75
what?,107.75,108.07
He,108.13,108.63
is.,111.11,111.36
"Oh,",111.36,111.59
where,111.67,111.87
the,111.87,111.95
spirit,111.95,112.27
"is,",112.27,112.51
there's,112.63,112.85
a,112.85,112.97
limit.,112.97,113.19
I,115.47,115.66
am,115.66,115.88
here.,115.88,116.0
"Yeah,",116.0,116.24
"yeah,",116.3,116.5
yeah.,116.6,116.74
I,117.78,118.08
am,118.08,118.32
here.,118.32,118.58
I,122.06,122.96
may,122.96,123.08
have,123.08,123.32
some,123.32,123.5
scars.,123.5,123.78
I,124.24,124.52
am,124.52,124.86
here.,124.86,125.06
But,125.58,125.68
I'm,125.68,125.86
here.,125.86,126.06
Circumstances.,126.4,127.06
Still,127.92,128.16
got,128.16,128.34
some,128.34,128.5
circumstances.,128.5,128.8
I'm,129.32,129.62
still,129.62,129.9
here.,129.9,130.06
But,130.46,130.58
I'm,130.58,130.74
