start	end	text
2550	2810	Ah,
3830	3950	this
3950	4130	is
4130	4290	by
4290	4750	everybody
4750	5170	who's
5170	5350	been
5350	5810	restored.
6610	7210	DeLaurin's
7210	7430	coming
7430	7710	at
7710	7930	ya.
8770	8970	Get
8970	9150	up,
9290	9410	come
9410	9550	on
9550	9790	y'all,
9870	10050	let's
10050	10230	sing
10230	10410	this
10410	10670	song.
12180	12460	Ah.
13220	13460	Oh.
14460	14720	Got
14720	15000	a
15000	15500	story
15500	15920	to
15920	16300	tell
16300	16600	you
16680	17200	Of
17200	17480	some
17480	17900	things
17900	18240	that
18240	18560	have
18560	18840	been
18840	19120	through
19120	19580	but
19580	19860	I'm
19860	20240	here
20620	20800	Yo,
20860	21040	I'm
21040	21300	here.
22140	22460	Oh,
22500	22840	I'm
22840	23180	here.
23560	23720	I
23720	23920	like
23920	24260	that.
24780	24940	Got
24940	25200	some
25200	25760	bugs,
26060	26200	got
26200	26500	some
26500	26920	doubt
27020	27260	Oh,
27400	27560	you
27560	27760	only
27760	27960	knew.
28040	28720	To
28720	29060	the
29060	29340	ground,
29500	29780	but
29780	30100	I'm
30100	30480	here
30760	30960	Right
30960	31220	now,
31300	31380	I
31380	31660	stand
31660	32020	before
32020	32280	you.
32440	32700	Oh,
32820	33080	I'm
33080	33240	here.
33240	34000	Ah.
34940	35220	That
35220	35500	too,
35640	36020	that's
36020	36180	so
36180	36460	important.
36460	36820	I
36820	37060	love
37060	37360	that.
38120	38400	More
38400	38700	than
38700	38980	what
38980	39460	we'll
39460	39640	remember.
39740	40140	But
40140	40340	I'm
40340	40660	here.
41160	41280	I
41280	41600	stand
41600	41980	here.
42620	42980	Oh,
43120	43340	I'm
43340	43680	here.
44140	44380	Thank
44380	44580	you,
44600	44800	Lord.
45160	45240	I
45240	45420	had
45420	45680	some
45680	46240	sunshine
46240	46720	and
46720	46980	some
46980	47460	rain.
47500	47720	Yeah.
48380	48720	Or
48720	48940	they
48940	49300	can't
49300	49560	some
49560	50140	pain.
50320	50700	I'm
50700	50960	here.
51460	51560	I'm
51560	51900	here.
53010	53240	Oh,
53380	53560	I'm
53560	53660	here.
53660	54000	Oh,
54020	54240	listen.
54820	55100	My
55100	55460	daughter
55460	55890	first.
56220	56820	God
56820	57260	touched
57260	57600	me.
58000	58280	He
58280	58640	lived.
59120	59280	Ah,
59420	59520	he
59520	59960	delivered.
60460	60740	He
60740	61140	said,
61340	61960	I'm
61960	62380	so
62380	63120	free.
63710	63890	Now
63890	64150	my
64150	64390	heart
64390	64610	is
64610	64990	mended.
65150	65330	My
65330	65670	heart
65670	65910	is
66270	66510	mended.
66610	66950	Oh,
66970	67170	I'm
67170	67430	whole
67430	67870	again.
69770	69870	You
69870	70130	see,
70390	70590	there's
70590	70770	no
70770	71290	change.
73720	74020	Yeah,
74040	74360	guess
74360	74680	what?
77980	78180	Got
78180	78380	my
78380	78720	liberty.
79180	79400	I'm
79400	79740	here.
80640	80880	Ah.
81360	81590	I'm
82760	82900	here.
82900	83120	Oh,
83220	83340	say
83340	83440	it,
83460	83680	y'all.
89870	89990	Ah,
90030	90210	ah,
90530	90570	yeah,
90690	90930	yeah.
92340	92580	Oh,
92740	92840	he
92840	93160	set
93160	93400	my
93400	93820	soul.
93900	94120	He
94120	94480	set
94480	94900	my
96650	97010	free.
97070	97410	Anybody
97410	97770	free
97770	98010	like
98010	98290	me.
98390	98630	My
98630	98990	heart
99820	100000	is
100000	100180	mended.
100220	100680	Anybody
100680	101340	mended.
101600	101880	I'm
101880	102070	whole
102750	103070	again.
103150	103390	Yeah,
103470	103690	yeah,
103770	103950	yeah.
104110	104430	Don't
104430	104670	say,
107150	107350	he
107350	107450	is.
107450	107750	Guess
107750	108070	what?
108130	108630	He
111110	111360	is.
111360	111590	Oh,
111670	111870	where
111870	111950	the
111950	112270	spirit
112270	112510	is,
112630	112850	there's
112850	112970	a
112970	113190	limit.
115470	115660	I
115660	115880	am
115880	116000	here.
116000	116240	Yeah,
116300	116500	yeah,
116600	116740	yeah.
117780	118080	I
118080	118320	am
118320	118580	here.
122060	122960	I
122960	123080	may
123080	123320	have
123320	123500	some
123500	123780	scars.
124240	124520	I
124520	124860	am
124860	125060	here.
125580	125680	But
125680	125860	I'm
125860	126060	here.
126400	127060	Circumstances.
127920	128160	Still
128160	128340	got
128340	128500	some
128500	128800	circumstances.
129320	129620	I'm
129620	129900	still
129900	130060	here.
130460	130580	But
130580	130740	I'm
130740	130980	still
130980	131060	here.
131640	131940	It's
131940	132180	a
132180	132480	point
132480	133040	man.
133580	133600	Oh,
133640	133680	let's
133680	133700	take
133700	133880	it
133880	134020	out.
135080	135100	Say
135100	135180	that
135180	135440	again,
135500	135820	y'all.
137080	137120	With
137120	137360	his
137360	137600	stripes.
139080	139100	Oh,
139100	139320	oh,
139480	139660	oh,
139660	140260	I'm
140260	140620	here.
143080	143100	Anybody
143100	143840	here
143840	144320	like
144320	144440	me.
146020	146040	With
146040	146180	his
146180	146480	stripes.
147080	147440	I'm
147440	148260	here.
148910	149530	I'm
149530	149550	here.
150270	150550	I'm
150550	150750	here.
150750	150770	I'm
150770	150790	here.
151110	151490	I'm
151490	151670	here.
161450	162270	I'm
162270	162510	here.
165840	166410	I'm
166410	166610	here.
166610	166630	I'm
166630	166730	here.
167750	168270	I'm
168270	168350	here.
168350	168370	I'm
168370	168390	here.
177350	177550	I'm
177550	177770	here.
177770	177790	I'm
177790	177860	here.
177860	177880	I'm
177880	177950	here.
181520	181840	I'm
181840	183020	here.
183560	183580	I'm
186570	186860	here.
186920	187120	With
187120	187400	his
187400	187860	stripes.
188280	188600	With
188600	188820	his
188820	189100	stripes.
189420	189640	I'm
189640	189680	here.
189680	189700	I'm
189700	190020	here.
190740	190930	I
191210	191830	like
191830	192070	this
192070	192330	part.
192390	192550	I
192550	192730	like
192730	192930	this
192930	193110	part.
193170	193350	We
193350	193610	have
193610	193910	some
193910	194370	scars.
194990	195230	Yeah.
195910	196230	I
196230	196570	am
196570	196650	here.
196650	197310	I'm
197310	197550	here.
198050	198860	Circumstances.
198860	199170	Circumstances.
200290	200310	I'm
200310	200330	still
200330	200950	here.
201070	201390	I'm
201390	201610	still
201610	201680	here.
201680	201700	It's
201700	201720	a
201720	201770	point
201770	202090	man.
202470	202490	Many
202490	202770	disappear.
203370	203590	I
203590	203770	am
203770	204530	here.
205570	205770	We
205770	205970	have
205970	206150	some
206150	206350	scars.
206510	206610	I
206610	206850	am
206850	206870	here.
206870	206890	I
206890	206910	am
207340	208250	here.
208490	209080	Circumstances.
209080	209700	Circumstances.
209700	209810	Circumstances.
211290	212190	Circumstances.
212710	213070	I'm
213070	213190	still
213190	213550	here.
214430	214790	I'm
214790	214810	here.
214810	214830	I'm
214830	214850	here.
216310	216690	I'm
216690	216790	here.
216790	216810	I'm
216810	216900	here.
216900	216920	I'm
216920	217010	here.
217810	218010	I'm
218010	218290	here.
218810	219070	I'm
219070	219830	here.
220630	220910	I'm
220910	221350	here.
221690	222210	I'm
222210	222430	here.
222430	222450	I'm
222450	223290	here.
223890	224570	I'm
224570	224790	here.
224790	224810	I'm
226890	226910	here.
227390	228450	I'm
228450	228590	here.
228590	228610	I'm
228610	228910	here.
231820	232200	I'm
232200	232300	here.
232300	232320	I'm
232320	232520	here.
233780	234020	I'm
234020	234060	here.
235420	235730	I'm
237390	237450	here.
237450	237510	I'm
237510	237550	here.
238650	238670	I'm
238670	238690	here.
239530	239910	I'm
239910	239990	here.
240340	241290	I'm
241290	241310	here.
241310	241620	I'm
243650	244110	here.
244670	244810	I'm
244810	245000	here.
245000	245020	I'm
247090	247310	here.
247490	247650	I'm
247650	247990	here.
248570	248890	I'm
248890	249290	here.
252300	252790	I'm
252790	253290	here.
253290	253310	I'm
253310	253450	here.
253470	254210	I'm
254210	254930	here.
255590	256150	I'm
258420	258680	here.
258680	259180	I'm
259180	259680	here.
260280	260480	I'm
260480	260600	here.
260600	260620	I'm
260620	260660	here.
264990	265410	I'm
265410	265790	here.
265790	265810	I'm
265810	265830	here.
267950	268300	I'm
268300	268580	here.
268580	268600	I'm
268600	268620	here.
268620	268640	I'm
268640	268740	here.
269660	270580	I'm
270580	271520	here.
272180	272220	I'm
272220	272240	here.
272620	272920	I'm
272920	273050	here.
273050	273070	I'm
273070	273300	here.
273600	274400	I'm
274400	274960	here.
274980	275480	I'm
275480	276120	here.
276120	276140	I'm
276140	276260	here.
277870	278530	I'm
278860	279050	here.
279050	279070	I'm
279070	279090	here.
280170	280750	I'm
280750	281050	here.
281050	281070	I'm
281070	281090	here.
281090	281110	I'm
281110	281170	here.
282990	283670	I'm
283670	283740	here.
283740	283760	I'm
283760	284070	here.
285250	285870	I'm
285870	286380	here.
286380	286400	I'm
286400	286510	here.
288110	288410	I'm
288410	288550	here.
288550	288570	I'm
288570	288730	here.
289810	291190	I'm
291190	291350	here.
291350	291530	I'm
291530	291910	here.
293350	293370	I'm
293370	293390	here.
294230	294350	I'm
294350	294370	here.
