start	end	text
5580	7440	So if you're lonely
9080	12340	You know I'm here waiting for you
12720	14460	I'm just a crosshair
15990	19070	I'm just a shot away from you
19490	21350	And if you leave here
22570	25770	You leave me broken, shattered, and lie
26190	27970	I'm just a crosshair
29430	32690	I'm just a shot, then we can die
44270	47960	Even here, with you
83500	86170	Hey, don't you know you say you
87430	93650	I say, I say you don't show
94230	96050	Don't move, time is slow
96650	115550	I say, you say I say
120090	121230	Move this could die
121790	123630	I smooth this could die
124110	128710	I want you to take me out
133070	135960	I know I hope you're leaving here
136860	140440	Oh, I know I believe in him
141920	149350	I know I believe in him
150230	151290	With you
160850	163390	Hey, don't you know you say you
163390	165570	Don't know I say
170090	171270	In this could die
172300	173650	Take this could die
174130	178580	I want you to take me out
178660	180440	I move this could die
181060	182980	I smooth this could die
183380	184140	Come on
208080	209230	Believe in him
210470	213150	I know I hope you're leaving here
214990	218090	I know I believe in him
218750	219770	With you
