start	end	text
5580	6120	So
6120	6620	if
6620	7000	you're
7000	7440	lonely
9080	9440	You
9440	9820	know
9820	10460	I'm
10460	10880	here
10880	11580	waiting
11580	11900	for
11900	12340	you
12720	13000	I'm
13000	13280	just
13280	13660	a
13660	14460	crosshair
15990	16350	I'm
16350	16690	just
16690	17090	a
17090	17690	shot
17690	18310	away
18310	18670	from
18670	19070	you
19490	19750	And
19750	20010	if
20010	20230	you
20230	20710	leave
20710	21350	here
22570	22990	You
22990	23470	leave
23470	23810	me
23810	24470	broken,
24930	25150	shattered,
25490	25510	and
25510	25770	lie
26190	26490	I'm
26490	26770	just
26770	27130	a
27130	27970	crosshair
29430	29810	I'm
29810	30130	just
30130	30530	a
30530	31270	shot,
31590	31730	then
31730	31910	we
31910	32090	can
32090	32690	die
44270	44680	Even
44680	45280	here,
46440	47040	with
47040	47960	you
83500	83650	Hey,
83870	84070	don't
84070	84210	you
84210	84550	know
84550	85290	you
85290	85710	say
85710	86170	you
87430	87630	I
87630	88090	say,
91970	92210	I
92210	92670	say
92670	93090	you
93090	93350	don't
93350	93650	show
94230	94610	Don't
94610	94950	move,
95170	95490	time
95490	95670	is
95670	96050	slow
96650	96850	I
96850	97290	say,
112400	112790	you
112790	113290	say
113290	113650	I
115090	115550	say
120090	120290	Move
120290	120630	this
120630	120830	could
120830	121230	die
121790	122030	I
122030	122310	smooth
122310	122910	this
122910	123110	could
123110	123630	die
124110	124430	I
124430	124830	want
124830	125370	you
125370	127110	to
127110	127570	take
127570	128070	me
128070	128710	out
133070	133460	I
133460	133920	know
133920	134580	I
134580	134940	hope
134940	135360	you're
135360	135560	leaving
135560	135960	here
136860	137440	Oh,
137540	137920	I
137920	138320	know
138320	139000	I
139500	139820	believe
139820	140140	in
140140	140440	him
141920	142320	I
142320	142780	know
142780	143560	I
145970	146330	believe
146330	147950	in
149010	149350	him
150230	150630	With
150630	151290	you
160850	161030	Hey,
161190	161470	don't
161470	161590	you
161590	161930	know
161930	162710	you
162710	163130	say
163130	163390	you
163390	163890	Don't
163890	164370	know
164370	165090	I
165090	165570	say
170090	170330	In
170330	170650	this
170650	170850	could
170850	171270	die
172300	172610	Take
172610	172930	this
172930	173130	could
173130	173650	die
174130	174350	I
174350	174810	want
174810	175470	you
175470	176210	to
177120	177620	take
177620	178120	me
178120	178580	out
178660	178940	I
178940	179440	move
179440	179820	this
179820	180020	could
180020	180440	die
181060	181220	I
181220	181560	smooth
181560	182180	this
182180	182380	could
182380	182980	die
183380	183600	Come
183600	184140	on
208080	208330	Believe
208330	208650	in
208650	209230	him
210470	210890	I
210890	211270	know
211270	212010	I
212010	212330	hope
212330	212670	you're
212670	212930	leaving
212930	213150	here
214990	215330	I
215330	215750	know
215750	216330	I
217070	217290	believe
217290	217550	in
217550	218090	him
218750	219010	With
219010	219770	you
