start	end	text
26130	40610	I'm singing into my fire
48720	54820	Oh, all flowers in time Bend towards the sun
55380	60380	I know you say that there's no one for you But here is one
61750	66550	Oh, flowers in time Bend towards the sun
67130	72170	I know you say that there's no one for you But here is one
73790	75330	But here is one
128270	133150	I know you say that there's no one for you But here is one
137500	142800	Bend towards the sun I know you say that there's no one for you
143480	144840	But here is one
172340	177020	Keep it going in me We can travel and
178100	184760	Fading farther from me With your face in my window glow
188590	211440	Wait for me, sweet widow It's okay to be in vain
212120	276560	To me, yeah, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes,
