start	end	text
26130	27470	I'm
28370	30290	singing
37870	38900	into
39830	40190	my
40190	40610	fire
48720	49340	Oh,
49740	50760	all
50760	51680	flowers
51680	52020	in
52020	52620	time
52620	53540	Bend
53540	54100	towards
54100	54460	the
54460	54820	sun
55380	55580	I
55580	55800	know
55800	56040	you
56040	56360	say
56360	56700	that
56700	57120	there's
57120	57280	no
57280	57480	one
57480	57920	for
57920	58280	you
58280	59380	But
59380	59580	here
59580	59900	is
59900	60380	one
61750	62130	Oh,
62290	63130	flowers
63130	63710	in
63710	64270	time
64270	65190	Bend
65190	65690	towards
65690	66090	the
66090	66550	sun
67130	67250	I
67250	67450	know
67450	67730	you
67730	68010	say
68010	68350	that
68350	68730	there's
68730	68930	no
68930	69110	one
69110	69530	for
69530	70030	you
70030	71010	But
71010	71250	here
71250	71550	is
71550	72170	one
73790	73970	But
73970	74170	here
74170	74470	is
74470	75330	one
128270	128370	I
128370	128490	know
128490	128750	you
128750	129250	say
129250	129550	that
129810	130040	there's
130040	130060	no
130060	130180	one
130180	130600	for
130600	131020	you
131020	131150	But
132150	132370	here
132370	132650	is
132650	133150	one
137500	137800	Bend
137800	138180	towards
138180	138600	the
138600	139100	sun
139100	139350	I
139880	140100	know
140100	140380	you
140380	140780	say
140780	141120	that
141120	141380	there's
141380	141560	no
141560	141780	one
141780	142220	for
142220	142800	you
143480	143640	But
143640	143940	here
143940	144260	is
144260	144840	one
172340	172620	Keep
172620	173000	it
173000	173520	going
173520	174040	in
174040	174700	me
174700	175480	We
175480	175780	can
175780	176480	travel
176480	177020	and
178100	178700	Fading
178700	179320	farther
179320	179840	from
179840	180540	me
180540	181320	With
181320	181600	your
181600	182300	face
182300	182840	in
182840	183160	my
183160	183940	window
183940	184760	glow
188590	189070	Wait
190510	191240	for
191240	191720	me,
192020	192900	sweet
192900	193880	widow
193880	194870	It's
207810	208270	okay
208270	209270	to
210360	210580	be
210580	210920	in
210920	211440	vain
212120	212340	To
214740	215060	me,
219070	219270	yeah,
221970	222350	yes,
222350	222690	yes,
222970	223390	yes,
223470	223770	yes,
223770	223950	yes,
223950	223970	yes,
223970	223990	yes,
223990	224010	yes,
224010	224030	yes,
224030	224250	yes,
224290	224310	yes,
224310	224390	yes,
224390	224410	yes,
224490	224500	yes,
246040	246060	yes,
246060	246080	yes,
246080	246100	yes,
246100	246120	yes,
246120	246140	yes,
246140	246160	yes,
246160	246180	yes,
246180	246200	yes,
246200	246220	yes,
246220	246240	yes,
246240	246260	yes,
246260	246280	yes,
246280	246300	yes,
246300	246320	yes,
246320	246340	yes,
246340	246360	yes,
246360	246380	yes,
246380	246400	yes,
246500	246520	yes,
246540	246560	yes,
246960	246980	yes,
246980	247000	yes,
247000	247020	yes,
247020	247040	yes,
247040	247060	yes,
247120	247140	yes,
247140	247160	yes,
247280	247300	yes,
247300	247320	yes,
247320	247340	yes,
247340	247360	yes,
247360	247380	yes,
247380	247400	yes,
247400	247420	yes,
247420	247440	yes,
247440	247460	yes,
247460	247480	yes,
247480	247500	yes,
247500	247580	yes,
247580	247600	yes,
247600	247620	yes,
247620	247640	yes,
247640	247660	yes,
247660	247680	yes,
247680	247700	yes,
247700	247720	yes,
247720	247740	yes,
247740	247760	yes,
247760	247780	yes,
247780	247800	yes,
247800	247820	yes,
247820	247840	yes,
247840	247860	yes,
247860	247880	yes,
247880	247900	yes,
247900	247920	yes,
247920	247940	yes,
247940	247960	yes,
247960	247980	yes,
247980	248000	yes,
248000	248020	yes,
248020	248040	yes,
248040	248060	yes,
248060	248080	yes,
248080	248100	yes,
248100	248120	yes,
248120	248140	yes,
248140	248160	yes,
248160	248180	yes,
248180	248200	yes,
248200	248220	yes,
248220	248240	yes,
248240	248260	yes,
248260	248280	yes,
248280	248300	yes,
248300	248320	yes,
248320	248340	yes,
248340	248360	yes,
248360	248380	yes,
248380	248400	yes,
248400	248420	yes,
248420	248440	yes,
248440	248460	yes,
248460	248480	yes,
248480	248500	yes,
248500	248520	yes,
248520	248540	yes,
248540	248560	yes,
248560	248580	yes,
248580	248600	yes,
248600	254280	yes,
260290	260930	yes,
260930	260950	yes,
261370	261850	yes,
276540	276560	yes,
