Pretty girls like Samuel and Shelly and he can handle,15.09,29.9
"Life is anything fair, life is anything fair",32.89,38.91
"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh",39.47,48.01
"Just as soon as they turn old, oh, come and sweep them off their feet",52.14,60.97
It's only making me feel smaller,64.73,67.73
"Oh, won't you lay me, you lay me down",70.83,81.48
"Won't you lay me, won't you lay me down",82.06,87.84
"Won't you lay me down, lay me down",88.32,102.03
"Thanks to Tom, my fool is right",140.69,142.87
Long before I see the light,143.64,146.4
"Say hello, but I just can't get enough",161.03,180.91
"Won't you lay me, won't you lay me down",183.19,188.96
"Won't you lay me, won't you lay me down",189.58,195.5
"Won't you lay me, won't you lay me down",196.08,201.98
"Won't you lay me, won't you lay me down",202.64,227.38
Won't you lay me down,227.92,228.1
