start	end	text
0	1600	Perdona,
2120	2260	si
2260	2440	me
2440	2920	enamoras
2920	3140	de
3140	4600	traicionas
4600	5220	Ay
5220	5640	ay
5640	5980	ay
5980	6000	ay,
6260	6560	en
6560	6700	mi
6700	6980	cama
7840	8080	La
8080	8360	otra
8360	8680	noche
8680	8980	te
8980	9160	vi
9160	9360	con
9360	9540	mi
9540	9840	pana
11190	11390	Así
11390	11610	se
11610	11910	pone
11910	12530	duro,
12650	13050	duro
13050	13370	duro
13370	13930	duro
13990	14130	No
14130	14310	es
14310	14490	todo
14490	14670	un
14670	15450	matazero,
15590	15790	hace
15790	16050	mi
16050	16790	orgullo
16930	17090	Si
17090	17250	se
17250	17550	pone
17550	18170	duro,
18430	18710	duro
18710	19030	duro
19030	19250	duro
19250	19670	No
19670	19890	sé
19890	20190	cómo
20190	20930	olvidarte,
21110	21510	puto
21510	21710	te
21710	21890	lo
21890	22370	juro
23450	23610	Soy
23610	24370	problemática
24370	24590	en
24590	24710	la
24710	25210	cama
26370	26590	Pero
26590	26910	así
26910	27210	lo
27210	28030	arreglamos
29010	29250	No
29250	29510	creo
29510	29830	que
29830	30070	es
30070	30310	un
30310	30830	drama
31710	31910	Soy
31910	32190	una
32190	32810	princesa,
32910	32970	me
32970	33250	gusta
33250	33610	cuando
33610	34490	gritamos
34690	34890	Yo
34890	35330	tengo
35330	35830	tu
35830	37230	fotodita
37230	37630	pa
37630	38590	besarte
38590	39110	tu
39110	40030	boquita
40330	40510	Y
40510	40990	cuando
40990	41470	te
41470	42830	necesita,
43450	43590	yo
43590	44210	quiero
44210	44650	que
44650	44990	me
44990	45910	trasbien
45950	46090	Yo
46090	46650	tengo
46650	47130	tu
47130	48490	fotodita
48490	48930	pa
48930	49870	besarte
49870	50370	tu
50370	51330	boquita
51610	51790	Y
51790	52270	cuando
52270	52790	te
52790	54110	necesita,
54750	54890	yo
54890	55470	quiero
55470	55930	que
55930	56290	me
56290	57330	trasbien
59890	60610	Perdona,
60610	61530	si
61530	61730	me
61730	62230	enamoras
62230	62430	de
62430	63870	traicionas
63870	64550	Ay
64550	64890	ay
64890	65210	ay
65210	65490	ay,
65510	65870	en
65870	65990	mi
65990	66270	cama
67130	67350	La
67350	67650	otra
67650	67930	noche
67930	68230	te
68230	68470	vi
68470	68650	con
68650	68830	mi
68830	69130	pana
70470	70670	Así
70670	70930	se
70930	71210	pone
71210	71810	duro,
72030	72350	duro
72350	72670	duro
72670	73190	duro
73210	73370	No
73370	73550	es
73550	73750	todo
73750	73970	un
73970	74710	matazero,
74910	75090	hace
75090	75330	mi
75330	76090	orgullo
76150	76370	Si
76370	76550	se
76550	76850	pone
76850	77470	duro,
77650	77990	duro
77990	78290	duro
78290	78800	duro
78800	78970	No
78970	79190	sé
79190	79450	cómo
79450	80210	olvidarte,
80410	80710	puto
80710	80930	te
80930	81170	lo
81170	81670	juro
82150	82530	Pero
82530	83510	tengo
83510	83650	un
83650	84270	tatuaje
84270	84530	en
84530	84670	mi
84670	85370	seno
85750	85930	Es
85930	86090	la
86090	86370	marca
86370	86670	en
86670	86790	mi
86790	86990	piel
86990	87150	de
87150	87210	la
87210	87410	noche
87410	88270	anterior
88590	88750	No
88750	88910	te
88910	89410	acuerdas,
89690	89810	me
89810	90210	quitas
90210	90390	el
90390	90970	sueño
91270	91390	Que
91390	91990	sentimiento
91990	92270	yo
92270	92950	necesito
92950	93970	medicación
94050	94230	Yo
94230	94450	te
94450	94630	lo
94630	94890	di,
95270	95630	te
95630	95750	lo
95750	96350	adretí
96670	96950	Tengo
96950	97110	el
97110	97430	número
97430	97850	del
97850	98310	cartel
98310	98650	caro
98650	98850	que
98850	99150	sí
99690	99850	Yo
99850	100050	te
100050	100230	lo
100230	100510	di,
101090	101350	pero
101350	102250	uno...
102350	102510	¡A
102510	102610	la
102610	102950	tarifa
102950	103350	bebé!
104020	104200	¡Es
104200	104360	un
104360	104700	robo!
105180	105360	Yo
105360	105960	tengo
105960	106400	tu
106400	107820	fotodita
107820	108200	pa
108200	109160	besarte
109160	109660	tu
109660	110640	boquita
110660	111080	Y
111080	111560	cuando
111560	112040	te
112040	113460	necesita,
114100	114180	yo
114180	114760	quiero
114760	115240	que
115240	115580	me
115580	116480	trasbien
116480	116680	Yo
116680	117220	tengo
117220	117720	tu
117720	119080	fotodita
119080	119520	pa
119520	120480	besarte
120480	120960	tu
120960	121900	boquita
122180	122380	Y
122380	122860	cuando
122860	123340	te
123340	124720	necesita,
125340	125480	yo
125480	126080	quiero
126080	126540	que
126540	126880	me
126880	127880	trasbien
128200	131460	Perdona,
131700	132100	si
132100	132320	me
132320	132820	enamoras
132820	133060	de
133060	134500	traicionas
134500	135140	Ay
135140	135480	ay
135480	135800	ay
135800	136100	ay,
136280	136440	en
136440	136580	mi
136580	136920	cama
137640	137960	La
137960	138240	otra
138240	138520	noche
138520	139160	previco
139160	139420	mi
139420	139720	pana
141060	141280	Así
141280	141520	se
141520	141800	pone
141800	142420	duro,
142640	142940	duro
142940	143280	duro
143280	143800	duro
143800	144000	Con
144000	144240	esto
144240	144480	no
144480	144560	es
144560	144620	un
144620	145340	matazero,
145500	145660	hace
145660	145920	mi
145920	146680	orgullo
146840	146960	Si
146960	147140	se
147140	147440	pone
147440	148060	duro,
148260	148580	duro
148580	148900	duro
148900	149240	duro
149240	149330	duro
149330	149620	No
149620	149800	sé
149800	150060	cómo
150060	150820	olvidarte,
151080	151320	puto
151320	151540	te
151540	151760	lo
151760	152240	juro
