start	end	text
10160	10780	You
10780	11140	shout
11140	11780	aloud,
13490	13910	I
13910	14570	can't
14570	14990	hear
14990	15450	a
15450	15990	word
15990	16350	you
16350	17230	say
18490	18690	I'm
18690	19130	talking
19130	19910	loud,
20270	20590	not
20590	21130	saying
21130	22670	much
26390	26590	I'm
26590	28150	criticized,
29030	29190	but
29190	29690	all
29690	30110	your
30110	31010	bullets
31010	32730	ricochet
34250	34390	You
34390	34670	shoot
34670	34910	me
34910	35570	down,
36250	36470	but
36470	36690	I
36690	37230	get
37230	38330	up
44060	44420	Nothing
44420	44940	to
44940	45820	lose,
46520	46680	far
46680	47360	away,
47980	48500	far
48500	49320	away
50060	51260	Ricochet,
52100	52460	take
52460	52840	your
52840	53500	aim,
54040	54500	far
54500	54930	away,
55900	56380	far
56380	57180	away
57940	58280	Shoot
58280	58540	me
58540	59020	down,
62150	62270	I
62270	62430	am
62430	62750	tight
62790	63600	Cut
77980	78220	me
78220	78900	down,
79900	80260	but
80260	80460	it's
80460	80840	you
80840	81280	who
81280	81820	have
81820	82620	further
82620	83280	to
83280	84040	fall
85360	86760	Goestown,
87560	88180	haunted
88180	89840	love
93290	93690	Raise
93690	93970	your
93970	94970	voice,
95850	96050	but
96050	96550	sticks
96550	97030	and
97030	97490	stones
97490	98010	may
98010	98510	break
98510	99010	my
99010	99810	bones
101070	101270	I'm
101270	101690	talking
101690	102510	loud,
103010	103210	not
103210	103750	saying
103750	105170	much
110480	111120	Nothing
111120	111700	to
111700	112440	lose,
113000	113580	far
113580	114160	away,
114870	115390	far
115390	116190	away
116950	118090	Ricochet,
119070	119230	take
119230	119630	your
119630	120250	aim,
120940	121380	far
121380	122140	away,
122620	123140	far
123140	124080	away
124760	125160	Shoot
125160	125420	me
125420	126220	down,
126840	126960	but
126960	127220	I
127220	127500	won't
127500	127940	fall
128880	129210	I
129210	129350	am
129350	129670	tight
129750	130610	Cut
157850	157950	me
157950	158110	down,
158230	158290	but
158290	158690	it's
158690	158710	you
158710	159280	who
161330	161350	have
161350	161930	further
161930	161950	to
161950	162830	fall
