"You shout aloud, I can't hear a word you say",10.16,17.23
"I'm talking loud, not saying much",18.49,22.67
"I'm criticized, but all your bullets ricochet",26.39,32.73
"You shoot me down, but I get up",34.25,38.33
"Nothing to lose, far away, far away",44.06,49.32
"Ricochet, take your aim, far away, far away",50.06,57.18
"Shoot me down, I am tight",57.94,62.75
"Cut me down, but it's you who have further to fall",62.79,84.04
"Goestown, haunted love",85.36,89.84
"Raise your voice, but sticks and stones may break my bones",93.29,99.81
"I'm talking loud, not saying much",101.07,105.17
"Nothing to lose, far away, far away",110.48,116.19
"Ricochet, take your aim, far away, far away",116.95,124.08
"Shoot me down, but I won't fall",124.76,127.94
I am tight,128.88,129.67
"Cut me down, but it's you who have further to fall",129.75,162.83
