You,10.16,10.78
shout,10.78,11.14
"aloud,",11.14,11.78
I,13.49,13.91
can't,13.91,14.57
hear,14.57,14.99
a,14.99,15.45
word,15.45,15.99
you,15.99,16.35
say,16.35,17.23
I'm,18.49,18.69
talking,18.69,19.13
"loud,",19.13,19.91
not,20.27,20.59
saying,20.59,21.13
much,21.13,22.67
I'm,26.39,26.59
"criticized,",26.59,28.15
but,29.03,29.19
all,29.19,29.69
your,29.69,30.11
bullets,30.11,31.01
ricochet,31.01,32.73
You,34.25,34.39
shoot,34.39,34.67
me,34.67,34.91
"down,",34.91,35.57
but,36.25,36.47
I,36.47,36.69
get,36.69,37.23
up,37.23,38.33
Nothing,44.06,44.42
to,44.42,44.94
"lose,",44.94,45.82
far,46.52,46.68
"away,",46.68,47.36
far,47.98,48.5
away,48.5,49.32
"Ricochet,",50.06,51.26
take,52.1,52.46
your,52.46,52.84
"aim,",52.84,53.5
far,54.04,54.5
"away,",54.5,54.93
far,55.9,56.38
away,56.38,57.18
Shoot,57.94,58.28
me,58.28,58.54
"down,",58.54,59.02
I,62.15,62.27
am,62.27,62.43
tight,62.43,62.75
Cut,62.79,63.6
me,77.98,78.22
"down,",78.22,78.9
but,79.9,80.26
it's,80.26,80.46
you,80.46,80.84
who,80.84,81.28
have,81.28,81.82
further,81.82,82.62
to,82.62,83.28
fall,83.28,84.04
"Goestown,",85.36,86.76
haunted,87.56,88.18
love,88.18,89.84
Raise,93.29,93.69
your,93.69,93.97
"voice,",93.97,94.97
but,95.85,96.05
sticks,96.05,96.55
and,96.55,97.03
stones,97.03,97.49
may,97.49,98.01
break,98.01,98.51
my,98.51,99.01
bones,99.01,99.81
I'm,101.07,101.27
talking,101.27,101.69
"loud,",101.69,102.51
not,103.01,103.21
saying,103.21,103.75
much,103.75,105.17
Nothing,110.48,111.12
to,111.12,111.7
"lose,",111.7,112.44
far,113.0,113.58
"away,",113.58,114.16
far,114.87,115.39
away,115.39,116.19
"Ricochet,",116.95,118.09
take,119.07,119.23
your,119.23,119.63
"aim,",119.63,120.25
far,120.94,121.38
"away,",121.38,122.14
far,122.62,123.14
away,123.14,124.08
Shoot,124.76,125.16
me,125.16,125.42
"down,",125.42,126.22
but,126.84,126.96
I,126.96,127.22
won't,127.22,127.5
fall,127.5,127.94
I,128.88,129.21
am,129.21,129.35
tight,129.35,129.67
Cut,129.75,130.61
me,157.85,157.95
"down,",157.95,158.11
but,158.23,158.29
it's,158.29,158.69
you,158.69,158.71
who,158.71,159.28
have,161.33,161.35
further,161.35,161.93
to,161.93,161.95
fall,161.95,162.83
