start	end	text
10990	13950	Que mais tem de acontecer no mundo
16330	18510	Para inverter o teu coração para mim
21190	23970	Que quantidade de lágrimas devo deixar cair
24670	26170	Que flor tem que nascer
26870	28030	Para ganhar o teu amor
31190	34210	Por esse amor, meu Deus, eu faço tudo
36070	39010	Te clamo os poemas mais lindos do universo
41080	43440	A ver se te convenço
43580	48300	Que a minha alma nasceu para ti
50850	53190	Será preciso um milagre
55810	58570	Para que o meu coração se alegre
60840	62640	Juro não vou desistir
63300	65240	Faça chuva ou faça sol
65940	68200	Porque eu preciso de ti para seguir
69420	70820	Quem me dera
72000	75920	Abraçar-te no outono, verão e primavera
76800	79980	Quisse a viver além uma quimera
81900	84700	Herdar a sorte e ganhar teu coração
84700	90740	Quem me dera
91760	95160	Abraçar-te no outono, verão e primavera
96730	99470	Quisse a viver além uma quimera
101690	104810	Herdar a sorte e ganhar teu coração
110340	112760	Será preciso uma tempestade
115200	115540	Para que o meu coração se alegre
115540	117520	Para perceberes que o meu amor é de verdade
120050	122070	Te procuro nos altos dós da cidade
122830	124510	Nas luzes dos faróis
125290	127630	Nos meros mortais como nós
129450	132130	O meu amor é puro
134740	138000	É tão grande e resistente como um emboadeiro
138080	142440	Por ti eu vou onde nunca iria
143640	146960	Por ti eu sou o que nunca seria
148200	150220	Quem me dera
151220	154940	Abraçar-te no outono, verão e primavera
156060	159020	Quisse a viver além uma quimera
161000	164380	Herdar a sorte e ganhar teu coração
167610	170030	Quem me dera
170610	174890	Abraçar-te no outono, verão e primavera
175890	178790	Quisse a viver além uma quimera
178790	178930	Herdar a sorte e ganhar teu coração
178930	179490	Quem me dera
180790	182670	Abraçar-te no outono, verão e primavera
182670	183260	Quisse a viver além uma quimera
183260	183630	Herdar a sorte e ganhar teu coração
185700	186250	Quem me dera
186250	187080	Abraçar-te no outono, verão e primavera
210090	211470	Quisse a viver além uma quimera
211470	212420	Herdar a sorte e ganhar teu coração
212420	212940	Quem me dera
212940	214130	Abraçar-te no outono, verão e primavera
214130	215590	Quisse a viver além uma quimera
215590	216570	Herdar a sorte e ganhar teu coração
216570	217000	Quem me dera
217000	218540	Abraçar-te no outono, verão e primavera
218540	218730	Quisse a viver além uma quimera
220010	221590	Herdar a sorte e ganhar teu coração
221630	222530	Quem me dera
222530	223530	Abraçar-te no outono, verão e primavera
223530	224150	Quisse a viver além uma quimera
228140	228810	Herdar a sorte e ganhar teu coração
228810	229030	Quem me dera
230310	230830	Abraçar-te no outono, verão e primavera
230830	231790	Abraçar-te no outono, verão e primavera
231790	232770	Abraçar-te no outono, verão e primavera
232770	234300	Abraçar-te no outono, verão e primavera
234300	234840	Abraçar-te no outono, verão e primavera
235720	236380	Abraçar-te no outono, verão e primavera
236380	237300	Abraçar-te no outono, verão e primavera
237300	237810	Abraçar-te no outono, verão e primavera
237810	238720	Abraçar-te no outono, verão e primavera
238720	240400	Abraçar-te no outono, verão e primavera
240400	241400	Abraçar-te no outono, verão e primavera
241400	242360	Abraçar-te no outono, verão e primavera
242360	243380	Abraçar-te no outono, verão e primavera
243380	245030	Abraçar-te no outono, verão e primavera
245030	247380	Abraçar-te no outono, verão e primavera
247380	248130	Abraçar-te no outono, verão e primavera
248130	249000	Abraçar-te no outono, verão e primavera
249000	250400	Abraçar-te no outono, verão e primavera
250400	251400	Abraçar-te no outono, verão e primavera
251400	252100	Abraçar-te no outono, verão e primavera
252100	253340	Abraçar-te no outono, verão e primavera
253340	254320	Abraçar-te no outono, verão e primavera
254320	255340	Abraçar-te no outono, verão e primavera
255340	256340	Abraçar-te no outono, verão e primavera
256340	257340	Abraçar-te no outono, verão e primavera
257340	258340	Abraçar-te no outono, verão e primavera
